name_major,total:,25_to_39_years:,science_and_engineering,computers_mathematics_and_statistics,biological_agricultural_and_environmental_sciences,physical_and_related_sciences,psychology,social_sciences,engineering,multidisciplinary_studies,science_and_engineering_related_fields,business,education,arts_humanities_and_other,literature_and_languages,liberal_arts_and_history,visual_and_performing_arts,communications,other,40_to_64_years:,science_and_engineering,computers_mathematics_and_statistics,biological_agricultural_and_environmental_sciences,physical_and_related_sciences,psychology,social_sciences,engineering,multidisciplinary_studies,science_and_engineering_related_fields,business,education,arts_humanities_and_other,literature_and_languages,liberal_arts_and_history,visual_and_performing_arts,communications,other
indiana_estimate,"64,474","55,574",,"68,874","58,560","61,168","50,682","50,487","83,197","51,798","63,279","66,513","47,086",,"42,324","47,718","43,216","52,590","51,481","73,396",,"101,124","90,621","90,460","55,652","73,828","110,806","80,162","81,449","79,386","57,452",,"60,773","57,896","46,633","61,480","65,950"
indiana_margin_of_error,±858,"±1,435",,"±4,220","±5,513","±4,637","±2,938","±4,350","±3,294","±11,599","±2,433","±2,375",±967,,"±5,818","±4,743","±3,021","±6,237","±1,603","±1,620",,"±7,784","±12,332","±12,587","±6,723","±6,877","±4,684","±21,397","±2,726","±3,587","±1,911",,"±6,097","±6,014","±3,609","±5,013","±3,214"
iowa_estimate,"65,295","57,861",,"63,927","56,998","50,347","51,775","57,877","80,929","50,161","62,547","69,840","50,126",,"44,113","50,498","46,087","50,004","52,522","72,564",,"100,457","78,860","97,242","68,088","69,303","110,510","50,875","77,655","81,109","60,969",,"58,627","66,597","47,291","64,297","59,409"
iowa_margin_of_error,"±1,074","±1,850",,"±16,305","±4,496","±10,596","±3,208","±8,887","±3,115","±18,457","±3,169","±3,735","±2,021",,"±4,368","±7,920","±6,131","±4,110","±3,274","±1,317",,"±14,391","±7,284","±26,393","±4,588","±9,976","±8,155","±34,852","±6,198","±3,171","±1,360",,"±8,580","±4,806","±9,465","±9,920","±5,184"
kansas_estimate,"64,195","58,345",,"76,914","55,368","63,001","49,307","63,670","84,264","49,167","61,241","63,845","50,387",,"40,478","50,444","48,100","52,878","52,744","72,166",,"94,701","83,777","80,574","56,686","82,588","115,873","60,407","76,834","81,373","54,286",,"60,249","70,429","56,004","70,603","61,693"
kansas_margin_of_error,±964,"±1,511",,"±8,457","±6,322","±12,944","±5,548","±11,116","±7,550","±24,410","±2,622","±2,173","±1,502",,"±5,575","±6,439","±7,462","±7,780","±2,517","±2,153",,"±11,765","±4,380","±13,464","±3,080","±8,418","±8,350","±52,105","±2,863","±4,565","±1,807",,"±4,986","±8,058","±3,290","±6,599","±8,900"
kentucky_estimate,"62,061","53,559",,"66,263","57,727","54,381","45,554","50,630","91,290","36,189","64,320","58,864","44,486",,"46,271","44,737","40,920","50,596","48,028","70,642",,"100,688","95,485","82,335","58,069","77,025","124,115","49,367","77,336","76,494","56,842",,"55,720","66,401","61,258","59,459","55,659"
kentucky_margin_of_error,"±1,033","±1,084",,"±5,601","±4,553","±8,041","±4,984","±3,400","±5,743","±10,550","±3,442","±4,300","±1,534",,"±3,586","±5,148","±2,822","±5,501","±3,592","±1,804",,"±11,949","±19,408","±6,186","±8,079","±6,727","±4,203","±12,357","±3,607","±3,280","±1,981",,"±6,405","±9,185","±8,713","±5,081","±7,550"
louisiana_estimate,"61,501","54,348",,"54,804","64,475","55,883","46,021","65,249","88,923","42,809","60,657","58,232","47,117",,"46,222","50,140","36,338","48,154","51,933","67,398",,"90,277","83,177","86,288","58,695","67,621","105,395","44,074","74,605","75,110","53,817",,"59,636","55,236","54,664","73,066","60,275"
louisiana_margin_of_error,"±1,262","±1,308",,"±16,545","±7,344","±10,163","±4,860","±8,125","±10,014","±11,825","±3,551","±7,137","±1,978",,"±4,248","±6,087","±12,339","±5,585","±2,970","±2,096",,"±11,044","±6,535","±12,672","±7,963","±5,156","±6,338","±20,900","±4,259","±3,606","±1,306",,"±7,052","±4,082","±8,686","±8,974","±12,114"
