GEO_ID,NAME,B15014_001E,B15014_001M,B15014_002E,B15014_002M,B15014_003E,B15014_003M,B15014_004E,B15014_004M,B15014_005E,B15014_005M,B15014_006E,B15014_006EA,B15014_006M,B15014_006MA,B15014_007E,B15014_007EA,B15014_007M,B15014_007MA,B15014_008E,B15014_008EA,B15014_008M,B15014_008MA,B15014_009E,B15014_009M,B15014_009MA,B15014_009EA,B15014_010E,B15014_010M,B15014_010MA,B15014_010EA,B15014_011E,B15014_011M,B15014_011MA,B15014_011EA,B15014_012E,B15014_012M,B15014_012MA,B15014_012EA,B15014_013E,B15014_013M,B15014_013MA,B15014_013EA,B15014_014E,B15014_014M,B15014_014MA,B15014_014EA,B15014_015E,B15014_015EA,B15014_015M,B15014_015MA,B15014_016E,B15014_016M,B15014_016MA,B15014_016EA,B15014_017E,B15014_017M,B15014_017MA,B15014_017EA,B15014_018E,B15014_018M,B15014_018MA,B15014_018EA,B15014_019E,B15014_019EA,B15014_019M,B15014_019MA,B15014_020E,B15014_020EA,B15014_020M,B15014_020MA,B15014_021E,B15014_021M,B15014_021MA,B15014_021EA,B15014_022E,B15014_022M,B15014_022MA,B15014_022EA,B15014_023E,B15014_023M,B15014_023MA,B15014_023EA,B15014_024E,B15014_024M,B15014_024MA,B15014_024EA,B15014_025E,B15014_025M,B15014_025MA,B15014_025EA,B15014_026E,B15014_026M,B15014_026MA,B15014_026EA,B15014_027E,B15014_027M,B15014_027MA,B15014_027EA,B15014_028E,B15014_028M,B15014_028MA,B15014_028EA,B15014_029E,B15014_029EA,B15014_029M,B15014_029MA,B15014_030E,B15014_030EA,B15014_030M,B15014_030MA,B15014_031E,B15014_031M,B15014_031MA,B15014_031EA,B15014_032E,B15014_032M,B15014_032MA,B15014_032EA,B15014_033E,B15014_033M,B15014_033MA,B15014_033EA
0400000US12,Florida,63276,516,56340,1126,69246,4673,60461,3087,55710,2920,49606,null,2358,null,58817,null,4175,null,74965,null,2596,null,47287,5432,null,null,61423,1872,null,null,64042,1497,null,null,49144,839,null,null,49076,2727,null,null,50296,7524,null,null,41474,null,2460,null,50589,2896,null,null,52219,968,null,null,70410,1002,null,null,98041,null,4613,null,91298,null,5533,null,87031,7891,null,null,61399,2863,null,null,72351,3345,null,null,100094,6444,null,null,68862,13792,null,null,75771,3025,null,null,73358,1927,null,null,53417,842,null,null,60397,null,4226,null,64420,null,2958,null,55155,3063,null,null,64878,3150,null,null,65448,3005,null,null
0400000US13,Georgia,71622,741,61933,871,81935,3988,57465,3814,66599,7133,51760,null,2613,null,63114,null,4708,null,85794,null,2715,null,56121,5055,null,null,61759,2346,null,null,71468,2249,null,null,50986,1765,null,null,55442,5366,null,null,57486,6410,null,null,53142,null,5089,null,55546,5998,null,null,50482,3680,null,null,80027,1071,null,null,104178,null,5559,null,92077,null,5487,null,94609,13055,null,null,64909,3342,null,null,81069,5827,null,null,127809,4041,null,null,76950,28216,null,null,83030,3060,null,null,85724,2438,null,null,64018,1559,null,null,62067,null,6327,null,69656,null,6025,null,62448,2421,null,null,77977,5827,null,null,69827,5768,null,null
0400000US15,Hawaii,70886,1795,60249,2335,71478,7088,64471,4692,59975,22593,57539,null,16142,null,50493,null,8398,null,82768,null,9656,null,61250,18585,null,null,74637,11431,null,null,59547,6127,null,null,52107,4141,null,null,42890,12399,null,null,54066,5396,null,null,36076,null,3528,null,57996,12498,null,null,59718,9473,null,null,79944,2607,null,null,88484,null,13549,null,91444,null,11598,null,101885,16936,null,null,74465,6167,null,null,83229,7354,null,null,113998,10718,null,null,64951,83055,null,null,94633,9778,null,null,77205,6683,null,null,67859,7296,null,null,74127,null,15351,null,68952,null,17798,null,45453,19770,null,null,63960,4370,null,null,71827,11785,null,null
0400000US16,Idaho,63254,1248,54167,1667,85377,15818,51716,2466,55170,14415,41253,null,4352,null,56165,null,11553,null,87357,null,6222,null,45313,30981,null,null,54877,9966,null,null,64502,7681,null,null,44899,4353,null,null,45885,6211,null,null,40931,12927,null,null,41177,null,4932,null,41541,30026,null,null,49459,7394,null,null,69210,2609,null,null,83656,null,17392,null,67961,null,9135,null,96384,18127,null,null,58893,10722,null,null,75158,13745,null,null,112179,13201,null,null,61077,8602,null,null,65749,7296,null,null,88970,8383,null,null,57575,4436,null,null,51434,null,4282,null,68448,null,14090,null,50681,10099,null,null,64673,24289,null,null,62186,2906,null,null
0400000US17,Illinois,76327,690,67514,1035,84254,4333,65515,3503,65166,3995,57901,null,5964,null,71816,null,4689,null,90621,null,4123,null,62458,6849,null,null,66607,1950,null,null,80191,2365,null,null,55945,2130,null,null,55834,5175,null,null,61603,4215,null,null,49499,null,4122,null,63547,3473,null,null,61619,1657,null,null,85834,979,null,null,103159,null,2796,null,96621,null,5192,null,100790,5132,null,null,75047,5270,null,null,97584,5344,null,null,123674,4590,null,null,62232,11803,null,null,84395,2677,null,null,93436,2377,null,null,65040,1942,null,null,81223,null,8624,null,76391,null,4577,null,61545,4543,null,null,84957,4425,null,null,73253,3914,null,null
0400000US18,Indiana,64474,858,55574,1435,68874,4220,58560,5513,61168,4637,50682,null,2938,null,50487,null,4350,null,83197,null,3294,null,51798,11599,null,null,63279,2433,null,null,66513,2375,null,null,47086,967,null,null,42324,5818,null,null,47718,4743,null,null,43216,null,3021,null,52590,6237,null,null,51481,1603,null,null,73396,1620,null,null,101124,null,7784,null,90621,null,12332,null,90460,12587,null,null,55652,6723,null,null,73828,6877,null,null,110806,4684,null,null,80162,21397,null,null,81449,2726,null,null,79386,3587,null,null,57452,1911,null,null,60773,null,6097,null,57896,null,6014,null,46633,3609,null,null,61480,5013,null,null,65950,3214,null,null
0400000US19,Iowa,65295,1074,57861,1850,63927,16305,56998,4496,50347,10596,51775,null,3208,null,57877,null,8887,null,80929,null,3115,null,50161,18457,null,null,62547,3169,null,null,69840,3735,null,null,50126,2021,null,null,44113,4368,null,null,50498,7920,null,null,46087,null,6131,null,50004,4110,null,null,52522,3274,null,null,72564,1317,null,null,100457,null,14391,null,78860,null,7284,null,97242,26393,null,null,68088,4588,null,null,69303,9976,null,null,110510,8155,null,null,50875,34852,null,null,77655,6198,null,null,81109,3171,null,null,60969,1360,null,null,58627,null,8580,null,66597,null,4806,null,47291,9465,null,null,64297,9920,null,null,59409,5184,null,null
0400000US20,Kansas,64195,964,58345,1511,76914,8457,55368,6322,63001,12944,49307,null,5548,null,63670,null,11116,null,84264,null,7550,null,49167,24410,null,null,61241,2622,null,null,63845,2173,null,null,50387,1502,null,null,40478,5575,null,null,50444,6439,null,null,48100,null,7462,null,52878,7780,null,null,52744,2517,null,null,72166,2153,null,null,94701,null,11765,null,83777,null,4380,null,80574,13464,null,null,56686,3080,null,null,82588,8418,null,null,115873,8350,null,null,60407,52105,null,null,76834,2863,null,null,81373,4565,null,null,54286,1807,null,null,60249,null,4986,null,70429,null,8058,null,56004,3290,null,null,70603,6599,null,null,61693,8900,null,null
0400000US21,Kentucky,62061,1033,53559,1084,66263,5601,57727,4553,54381,8041,45554,null,4984,null,50630,null,3400,null,91290,null,5743,null,36189,10550,null,null,64320,3442,null,null,58864,4300,null,null,44486,1534,null,null,46271,3586,null,null,44737,5148,null,null,40920,null,2822,null,50596,5501,null,null,48028,3592,null,null,70642,1804,null,null,100688,null,11949,null,95485,null,19408,null,82335,6186,null,null,58069,8079,null,null,77025,6727,null,null,124115,4203,null,null,49367,12357,null,null,77336,3607,null,null,76494,3280,null,null,56842,1981,null,null,55720,null,6405,null,66401,null,9185,null,61258,8713,null,null,59459,5081,null,null,55659,7550,null,null
0400000US22,Louisiana,61501,1262,54348,1308,54804,16545,64475,7344,55883,10163,46021,null,4860,null,65249,null,8125,null,88923,null,10014,null,42809,11825,null,null,60657,3551,null,null,58232,7137,null,null,47117,1978,null,null,46222,4248,null,null,50140,6087,null,null,36338,null,12339,null,48154,5585,null,null,51933,2970,null,null,67398,2096,null,null,90277,null,11044,null,83177,null,6535,null,86288,12672,null,null,58695,7963,null,null,67621,5156,null,null,105395,6338,null,null,44074,20900,null,null,74605,4259,null,null,75110,3606,null,null,53817,1306,null,null,59636,null,7052,null,55236,null,4082,null,54664,8686,null,null,73066,8974,null,null,60275,12114,null,null
0400000US23,Maine,62421,1260,56454,2138,64153,27139,51597,8787,87790,34430,50610,null,5464,null,56799,null,4073,null,93338,null,7160,null,43917,14591,null,null,62387,6077,null,null,67591,4788,null,null,47760,5652,null,null,46879,6750,null,null,53243,10456,null,null,38954,null,8118,null,58400,15772,null,null,62869,11130,null,null,66227,2883,null,null,85748,null,14087,null,65631,null,14903,null,75067,12268,null,null,61999,6086,null,null,55675,9079,null,null,101855,8869,null,null,49274,47891,null,null,71877,5944,null,null,79065,7480,null,null,58562,4970,null,null,63961,null,9424,null,70960,null,11066,null,58977,10588,null,null,57481,9706,null,null,59031,7894,null,null
0400000US24,Maryland,87689,1571,72181,1224,85129,5714,67249,3655,72592,7180,60405,null,4739,null,80178,null,4144,null,96416,null,4393,null,65970,11350,null,null,73074,2732,null,null,78674,4334,null,null,60542,1825,null,null,59133,10670,null,null,62189,2790,null,null,51297,null,3634,null,61665,4319,null,null,66214,3861,null,null,101819,990,null,null,124967,null,5203,null,110220,null,10201,null,125969,7083,null,null,87979,8901,null,null,110097,5702,null,null,135478,6368,null,null,87806,15031,null,null,93296,3677,null,null,102040,3040,null,null,77593,3532,null,null,95516,null,6496,null,88827,null,10047,null,69735,10570,null,null,87557,8433,null,null,96267,6249,null,null
0400000US25,Massachusetts,87001,747,75800,901,100156,8413,76357,2180,69627,9616,64147,null,3538,null,81430,null,3144,null,98299,null,3915,null,77851,21451,null,null,75402,2161,null,null,84761,3089,null,null,60697,3047,null,null,64663,5579,null,null,64560,5063,null,null,52646,null,2967,null,74744,3212,null,null,63067,2349,null,null,100205,1230,null,null,128788,null,6162,null,107201,null,13577,null,122084,7524,null,null,84328,4001,null,null,104545,3489,null,null,143339,5963,null,null,84727,13631,null,null,101842,2884,null,null,101437,2948,null,null,80430,2537,null,null,87017,null,4314,null,84854,null,6342,null,73216,4164,null,null,87497,4947,null,null,89582,6476,null,null
