,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
203,Hawaii,total,Graduate_or_professional_degree,79653,2735,HI,23.88888888888889,6376.875,23.11111111111111,5841.444444444444,45.0,5570.0,0.0,0.0,0.0,0.0,26.0,-1991325.0,79653.0,1115142.0
216,Idaho,total,Total,43844,772,ID,49.27272727272727,6238.636363636364,56.375,6051.25,78.64285714285714,6742.5,0.0,0.0,0.0,0.0,,,43844.0,
217,Idaho,total,Less_than_high_school_graduate,35192,2579,ID,49.27272727272727,6238.636363636364,56.375,6051.25,78.64285714285714,6742.5,0.0,0.0,0.0,0.0,16.0,-527880.0,35192.0,844608.0
218,Idaho,total,High_school_graduate_includes_equivalency,37406,1078,ID,49.27272727272727,6238.636363636364,56.375,6051.25,78.64285714285714,6742.5,0.0,0.0,0.0,0.0,18.0,-635902.0,37406.0,822932.0
219,Idaho,total,Some_college_or_associates_degree,40546,696,ID,49.27272727272727,6238.636363636364,56.375,6051.25,78.64285714285714,6742.5,6051.25,12102.5,131.34392790167072,15761.271348200487,20.0,-786135.2713482005,24784.728651799513,795158.7286517995
220,Idaho,total,Bachelors_degree,54796,2048,ID,49.27272727272727,6238.636363636364,56.375,6051.25,78.64285714285714,6742.5,6238.636363636364,24954.545454545456,270.8223936377429,32498.687236529146,22.0,-1183214.687236529,22297.312763470854,953829.3127634708
221,Idaho,total,Graduate_or_professional_degree,72869,3340,ID,49.27272727272727,6238.636363636364,56.375,6051.25,78.64285714285714,6742.5,0.0,0.0,0.0,0.0,26.0,-1821725.0,72869.0,1020166.0
234,Illinois,total,Total,51922,298,IL,58.705882352941174,6720.409090909091,19.677966101694917,5023.929824561404,68.91428571428571,6313.363636363636,0.0,0.0,0.0,0.0,,,51922.0,
235,Illinois,total,Less_than_high_school_graduate,31826,508,IL,58.705882352941174,6720.409090909091,19.677966101694917,5023.929824561404,68.91428571428571,6313.363636363636,0.0,0.0,0.0,0.0,16.0,-477390.0,31826.0,763824.0
236,Illinois,total,High_school_graduate_includes_equivalency,38766,778,IL,58.705882352941174,6720.409090909091,19.677966101694917,5023.929824561404,68.91428571428571,6313.363636363636,0.0,0.0,0.0,0.0,18.0,-659022.0,38766.0,852852.0
237,Illinois,total,Some_college_or_associates_degree,44169,589,IL,58.705882352941174,6720.409090909091,19.677966101694917,5023.929824561404,68.91428571428571,6313.363636363636,5023.929824561404,10047.859649122807,109.04568091885913,13085.481710263097,20.0,-852296.4817102631,31083.5182897369,870294.5182897369
238,Illinois,total,Bachelors_degree,68489,1145,IL,58.705882352941174,6720.409090909091,19.677966101694917,5023.929824561404,68.91428571428571,6313.363636363636,6720.409090909091,26881.636363636364,291.73639400325425,35008.36728039051,22.0,-1473277.3672803906,33480.63271960949,1197793.6327196094
239,Illinois,total,Graduate_or_professional_degree,84140,1200,IL,58.705882352941174,6720.409090909091,19.677966101694917,5023.929824561404,68.91428571428571,6313.363636363636,0.0,0.0,0.0,0.0,26.0,-2103500.0,84140.0,1177960.0
252,Indiana,total,Total,46623,410,IN,54.490566037735846,6719.843137254902,69.0,7986.0,76.36666666666666,7883.413793103448,0.0,0.0,0.0,0.0,,,46623.0,
253,Indiana,total,Less_than_high_school_graduate,32019,746,IN,54.490566037735846,6719.843137254902,69.0,7986.0,76.36666666666666,7883.413793103448,0.0,0.0,0.0,0.0,16.0,-480285.0,32019.0,768456.0
254,Indiana,total,High_school_graduate_includes_equivalency,38553,630,IN,54.490566037735846,6719.843137254902,69.0,7986.0,76.36666666666666,7883.413793103448,0.0,0.0,0.0,0.0,18.0,-655401.0,38553.0,848166.0
255,Indiana,total,Some_college_or_associates_degree,44403,656,IN,54.490566037735846,6719.843137254902,69.0,7986.0,76.36666666666666,7883.413793103448,7986.0,15972.0,173.33817115847842,20800.58053901741,20.0,-864457.5805390175,23602.41946098259,867259.4194609825
256,Indiana,total,Bachelors_degree,58609,1231,IN,54.490566037735846,6719.843137254902,69.0,7986.0,76.36666666666666,7883.413793103448,6719.843137254902,26879.37254901961,291.7118256658194,35005.419079898325,22.0,-1265794.4190798984,23603.580920101675,1019956.5809201017
257,Indiana,total,Graduate_or_professional_degree,73559,2217,IN,54.490566037735846,6719.843137254902,69.0,7986.0,76.36666666666666,7883.413793103448,0.0,0.0,0.0,0.0,26.0,-1838975.0,73559.0,1029826.0
270,Iowa,total,Total,48569,620,IA,67.32352941176471,7812.363636363636,61.2,6033.114285714286,88.0,5196.0,0.0,0.0,0.0,0.0,,,48569.0,
271,Iowa,total,Less_than_high_school_graduate,32968,2066,IA,67.32352941176471,7812.363636363636,61.2,6033.114285714286,88.0,5196.0,0.0,0.0,0.0,0.0,16.0,-494520.0,32968.0,791232.0
272,Iowa,total,High_school_graduate_includes_equivalency,39439,863,IA,67.32352941176471,7812.363636363636,61.2,6033.114285714286,88.0,5196.0,0.0,0.0,0.0,0.0,18.0,-670463.0,39439.0,867658.0
273,Iowa,total,Some_college_or_associates_degree,45837,899,IA,67.32352941176471,7812.363636363636,61.2,6033.114285714286,88.0,5196.0,6033.114285714286,12066.228571428572,130.95028758775408,15714.03451053049,20.0,-886617.0345105305,30122.965489469512,901025.9654894695
274,Iowa,total,Bachelors_degree,58561,1365,IA,67.32352941176471,7812.363636363636,61.2,6033.114285714286,88.0,5196.0,7812.363636363636,31249.454545454544,339.138699011338,40696.643881360564,22.0,-1270477.6438813605,17864.356118639436,1013401.3561186395
275,Iowa,total,Graduate_or_professional_degree,73926,1640,IA,67.32352941176471,7812.363636363636,61.2,6033.114285714286,88.0,5196.0,0.0,0.0,0.0,0.0,26.0,-1848150.0,73926.0,1034964.0
288,Kansas,total,Total,47295,608,KS,66.3225806451613,6435.333333333333,39.275862068965516,5274.517241379311,74.81818181818181,7133.545454545455,0.0,0.0,0.0,0.0,,,47295.0,
289,Kansas,total,Less_than_high_school_graduate,32838,1788,KS,66.3225806451613,6435.333333333333,39.275862068965516,5274.517241379311,74.81818181818181,7133.545454545455,0.0,0.0,0.0,0.0,16.0,-492570.0,32838.0,788112.0
290,Kansas,total,High_school_graduate_includes_equivalency,36659,834,KS,66.3225806451613,6435.333333333333,39.275862068965516,5274.517241379311,74.81818181818181,7133.545454545455,0.0,0.0,0.0,0.0,18.0,-623203.0,36659.0,806498.0
291,Kansas,total,Some_college_or_associates_degree,42026,612,KS,66.3225806451613,6435.333333333333,39.275862068965516,5274.517241379311,74.81818181818181,7133.545454545455,5274.517241379311,10549.034482758621,114.48474484905489,13738.169381886586,20.0,-812232.1693818866,28287.830618113414,826781.8306181134
