,degree_age_range,state,degree,age_range,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,education,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
50,40_to_64_years_40_to_64_years,Alaska,40_to_64_years,40_to_64_years,87147.0,4102.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1859205.7290500875,58028.27094991247,1539527.2709499125
51,40_to_64_years_Computers_Mathematics_and_Statistics,Alaska,Computers_Mathematics_and_Statistics,40_to_64_years,124397.0,110344.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-2641455.7290500877,95278.27094991246,2210027.2709499123
52,40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Alaska,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,94307.0,14420.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-2009565.7290500875,65188.27094991247,1668407.2709499125
53,40_to_64_years_Physical_and_Related_Sciences,Alaska,Physical_and_Related_Sciences,40_to_64_years,109046.0,52013.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-2319084.7290500877,79927.27094991246,1933709.2709499125
54,40_to_64_years_Psychology,Alaska,Psychology,40_to_64_years,98380.0,22999.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-2095098.7290500875,69261.27094991246,1741721.2709499125
55,40_to_64_years_Social_Sciences,Alaska,Social_Sciences,40_to_64_years,86453.0,6452.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1844631.7290500875,57334.27094991247,1527035.2709499125
56,40_to_64_years_Engineering,Alaska,Engineering,40_to_64_years,117857.0,24608.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-2504115.7290500877,88738.27094991246,2092307.2709499125
57,40_to_64_years_Multidisciplinary_Studies,Alaska,Multidisciplinary_Studies,40_to_64_years,64972.0,64190.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1393530.7290500875,35853.27094991247,1140377.2709499125
58,40_to_64_years_Science_and_Engineering_Related_Fields,Alaska,Science_and_Engineering_Related_Fields,40_to_64_years,86509.0,10824.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1845807.7290500875,57390.27094991247,1528043.2709499125
59,40_to_64_years_Business,Alaska,Business,40_to_64_years,96877.0,9919.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-2063535.7290500875,67758.27094991246,1714667.2709499125
60,40_to_64_years_Education,Alaska,Education,40_to_64_years,76609.0,6901.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1637907.7290500875,47490.27094991247,1349843.2709499125
61,40_to_64_years_Literature_and_Languages,Alaska,Literature_and_Languages,40_to_64_years,67159.0,12785.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1439457.7290500875,38040.27094991247,1179743.2709499125
62,40_to_64_years_Liberal_Arts_and_History,Alaska,Liberal_Arts_and_History,40_to_64_years,85326.0,19676.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1820964.7290500875,56207.27094991247,1506749.2709499125
63,40_to_64_years_Visual_and_Performing_Arts,Alaska,Visual_and_Performing_Arts,40_to_64_years,73177.0,24145.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1565835.7290500875,44058.27094991247,1288067.2709499125
64,40_to_64_years_Communications,Alaska,Communications,40_to_64_years,74711.0,19791.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-1598049.7290500875,45592.27094991247,1315679.2709499125
65,40_to_64_years_Other,Alaska,Other,40_to_64_years,100095.0,17191.0,AK,18.166666666666668,5589.8,28.5,7364.0,11.0,7768.0,Bachelors_degree,5589.8,22359.2,242.6560754173961,29118.72905008753,22,-2131113.7290500877,70976.27094991246,1772591.2709499125
67,25_to_39_years_25_to_39_years,Arizona,Combined_25_to_39_years,25_to_39_years,60743.0,802.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1318828.2103164515,17517.789683548588,1050148.7896835485
68,25_to_39_years_Computers_Mathematics_and_Statistics,Arizona,Computers_Mathematics_and_Statistics,25_to_39_years,82391.0,6307.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1773436.2103164515,39165.78968354859,1439812.7896835485
69,25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Arizona,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,54925.0,5378.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1196650.2103164515,11699.789683548588,945424.7896835486
70,25_to_39_years_Physical_and_Related_Sciences,Arizona,Physical_and_Related_Sciences,25_to_39_years,62316.0,9343.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1351861.2103164515,19090.789683548588,1078462.7896835485
71,25_to_39_years_Psychology,Arizona,Psychology,25_to_39_years,53281.0,3091.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1162126.2103164515,10055.789683548588,915832.7896835486
72,25_to_39_years_Social_Sciences,Arizona,Social_Sciences,25_to_39_years,59144.0,5642.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1285249.2103164515,15918.789683548588,1021366.7896835486
73,25_to_39_years_Engineering,Arizona,Engineering,25_to_39_years,86615.0,4397.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1862140.2103164515,43389.78968354859,1515844.7896835485
74,25_to_39_years_Multidisciplinary_Studies,Arizona,Multidisciplinary_Studies,25_to_39_years,54175.0,7580.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1180900.2103164515,10949.789683548588,931924.7896835486
75,25_to_39_years_Science_and_Engineering_Related_Fields,Arizona,Science_and_Engineering_Related_Fields,25_to_39_years,62915.0,2123.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1364440.2103164515,19689.789683548588,1089244.7896835485
76,25_to_39_years_Business,Arizona,Business,25_to_39_years,66060.0,1771.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1430485.2103164515,22834.789683548588,1145854.7896835485
77,25_to_39_years_Education,Arizona,Education,25_to_39_years,51036.0,1451.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1114981.2103164515,7810.789683548588,875422.7896835486
78,25_to_39_years_Literature_and_Languages,Arizona,Literature_and_Languages,25_to_39_years,52459.0,5485.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1144864.2103164515,9233.789683548588,901036.7896835486
79,25_to_39_years_Liberal_Arts_and_History,Arizona,Liberal_Arts_and_History,25_to_39_years,56760.0,8183.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1235185.2103164515,13534.789683548588,978454.7896835486
80,25_to_39_years_Visual_and_Performing_Arts,Arizona,Visual_and_Performing_Arts,25_to_39_years,47658.0,6892.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1044043.2103164514,4432.789683548588,814618.7896835486
81,25_to_39_years_Communications,Arizona,Communications,25_to_39_years,55536.0,7543.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1209481.2103164515,12310.789683548588,956422.7896835486
82,25_to_39_years_Other,Arizona,Other,25_to_39_years,56087.0,2853.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1221052.2103164515,12861.789683548588,966340.7896835486
83,40_to_64_years_40_to_64_years,Arizona,40_to_64_years,40_to_64_years,80644.0,1405.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-1736749.2103164515,37418.78968354859,1408366.7896835485
84,40_to_64_years_Computers_Mathematics_and_Statistics,Arizona,Computers_Mathematics_and_Statistics,40_to_64_years,117225.0,7550.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-2504950.2103164513,73999.78968354859,2066824.7896835485
85,40_to_64_years_Biological_Agricultural_and_Environmental_Sciences,Arizona,Biological_Agricultural_and_Environmental_Sciences,40_to_64_years,93501.0,8614.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,Bachelors_degree,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22,-2006746.2103164515,50275.78968354859,1639792.7896835485
