,state,education,degree,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39,age_range,sex
202,Arizona,Bachelors_degree,Communications,55536.0,7543.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1209481.2103164515,12310.789683548588,956422.7896835486,25_to_39_years,
189,Arizona,Bachelors_degree,Computers_Mathematics_and_Statistics,82391.0,6307.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1773436.2103164515,39165.78968354859,1439812.7896835485,25_to_39_years,
198,Arizona,Bachelors_degree,Education,51036.0,1451.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1114981.2103164515,7810.789683548588,875422.7896835486,25_to_39_years,
194,Arizona,Bachelors_degree,Engineering,86615.0,4397.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1862140.2103164515,43389.78968354859,1515844.7896835485,25_to_39_years,
200,Arizona,Bachelors_degree,Liberal_Arts_and_History,56760.0,8183.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1235185.2103164515,13534.789683548588,978454.7896835486,25_to_39_years,
199,Arizona,Bachelors_degree,Literature_and_Languages,52459.0,5485.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1144864.2103164515,9233.789683548588,901036.7896835486,25_to_39_years,
195,Arizona,Bachelors_degree,Multidisciplinary_Studies,54175.0,7580.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1180900.2103164515,10949.789683548588,931924.7896835486,25_to_39_years,
203,Arizona,Bachelors_degree,Other,56087.0,2853.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1221052.2103164515,12861.789683548588,966340.7896835486,25_to_39_years,
191,Arizona,Bachelors_degree,Physical_and_Related_Sciences,62316.0,9343.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1351861.2103164515,19090.789683548588,1078462.7896835485,25_to_39_years,
192,Arizona,Bachelors_degree,Psychology,53281.0,3091.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1162126.2103164515,10055.789683548588,915832.7896835486,25_to_39_years,
196,Arizona,Bachelors_degree,Science_and_Engineering_Related_Fields,62915.0,2123.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1364440.2103164515,19689.789683548588,1089244.7896835485,25_to_39_years,
193,Arizona,Bachelors_degree,Social_Sciences,59144.0,5642.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1285249.2103164515,15918.789683548588,1021366.7896835486,25_to_39_years,
201,Arizona,Bachelors_degree,Visual_and_Performing_Arts,47658.0,6892.0,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,22.0,-1044043.2103164514,4432.789683548588,814618.7896835486,25_to_39_years,
9,Arkansas,Less_than_high_school_graduate,,30770.0,1084.0,AR,55.28,6423.125,18.72,4533.4,0.0,0.0,0.0,0.0,16.0,-461550.0,30770.0,738480.0,,total
