,degree_age_range,state,degree,age_range,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,education,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
1520,25_to_39_years_Computers_Mathematics_and_Statistics,Virginia,Computers_Mathematics_and_Statistics,25_to_39_years,93857.0,4656.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-2012859.2753028078,51994.72469719227,1647563.7246971922
1521,25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Virginia,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,64988.0,4469.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-1406610.2753028078,23125.724697192272,1127921.7246971922
1522,25_to_39_years_Physical_and_Related_Sciences,Virginia,Physical_and_Related_Sciences,25_to_39_years,71472.0,5222.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-1542774.2753028078,29609.724697192272,1244633.7246971922
1523,25_to_39_years_Psychology,Virginia,Psychology,25_to_39_years,62090.0,3549.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-1345752.2753028078,20227.724697192272,1075757.7246971922
1524,25_to_39_years_Social_Sciences,Virginia,Social_Sciences,25_to_39_years,80622.0,2425.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-1734924.2753028078,38759.72469719227,1409333.7246971922
1525,25_to_39_years_Engineering,Virginia,Engineering,25_to_39_years,96127.0,3952.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-2060529.2753028078,54264.72469719227,1688423.7246971922
1526,25_to_39_years_Multidisciplinary_Studies,Virginia,Multidisciplinary_Studies,25_to_39_years,64350.0,7976.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-1393212.2753028078,22487.724697192272,1116437.7246971922
1527,25_to_39_years_Science_and_Engineering_Related_Fields,Virginia,Science_and_Engineering_Related_Fields,25_to_39_years,68817.0,3278.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-1487019.2753028078,26954.724697192272,1196843.7246971922
1528,25_to_39_years_Business,Virginia,Business,25_to_39_years,79727.0,3601.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-1716129.2753028078,37864.72469719227,1393223.7246971922
1529,25_to_39_years_Education,Virginia,Education,25_to_39_years,52500.0,1666.0,VA,57.10344827586207,8036.125,29.18918918918919,5712.363636363636,59.96153846153846,6648.541666666667,Bachelors_degree,8036.125,32144.5,348.8522941900644,41862.27530280773,22,-1144362.2753028078,10637.724697192272,903137.7246971923
