State,Education,Age,Median Salary,Gross Salary,Profitability Age vs. HS no grad,Profitability Age vs. HS,Baseline
Colorado,Bachelor's in Engineering,39,93554,1649031.042,,,0
Colorado,Bachelor's in Liberal Arts and History,39,62406,1088367.042,,,0
Colorado,Bachelor's in Literature and Languages,39,51585,893589.0423,,,0
Colorado,Bachelor's in Multidisciplinary Studies,39,58763,1022793.042,,,0
Colorado,Bachelor's in Other,39,62558,1091103.042,,,0
Colorado,Bachelor's in Physical and Related Sciences,39,67253,1175613.042,,,0
Colorado,Bachelor's in Psychology,39,54295,942369.0423,,,0
Colorado,Bachelor's in Science and Engineering Related Fields,39,67357,1177485.042,,,0
Colorado,Bachelor's in Social Sciences,39,73201,1282677.042,,,0
Colorado,Bachelor's in Visual and Performing Arts,39,51710,895839.0423,,,0
Connecticut,HS did not graduate,16,31767,31767,,23.45473941,1
Connecticut,HS graduate,18,41610,41610,23.45473941,,1
Connecticut,Associate Degree,20,49709,33597.91228,26.98010744,31.2646114,1
Connecticut,All Majors Combined,22,71512,30272.28152,26.8332298,27.94534541,0
Connecticut,Bachelor's in Biological Agricultural and Environmental Sciences,22,75037,33797.28152,26.35802446,27.21293321,0
Connecticut,Bachelor's in Business,22,80851,39611.28152,25.72336644,26.29241657,0
Connecticut,Bachelor's in Communications,22,70716,29476.28152,26.95244341,28.13528889,0
Connecticut,Bachelor's in Computers Mathematics and Statistics,22,80949,39709.28152,25.71395467,26.27923228,0
Connecticut,Bachelor's in Education,22,63127,21887.28152,28.39291194,30.65189006,0
Connecticut,Bachelor's in Engineering,22,94186,52946.28152,24.7142812,24.95008594,0
Connecticut,Bachelor's in Liberal Arts and History,22,66632,25392.28152,27.64969793,29.29988484,0
Connecticut,Bachelor's in Literature and Languages,22,58192,16952.28152,29.77357497,33.5244071,0
Connecticut,Bachelor's in Multidisciplinary Studies,22,71408,30168.28152,26.84853355,27.96958583,0
Connecticut,Bachelor's in Other,22,64746,23506.28152,28.02998024,29.97647469,0
Connecticut,Bachelor's in Physical and Related Sciences,22,69743,28503.28152,27.10495362,28.38206798,0
Connecticut,Bachelor's in Psychology,22,61932,20692.28152,28.68578546,31.21945274,0
Connecticut,Bachelor's in Science and Engineering Related Fields,22,71259,30019.28152,26.87059958,28.00461123,0
Connecticut,Bachelor's in Social Sciences,22,67955,26715.28152,27.40659109,28.88307908,0
Connecticut,Bachelor's in Visual and Performing Arts,22,54400,13160.28152,31.24352576,37.23766368,0
Connecticut,HS did not graduate,39,31767,762408,,,1
Connecticut,HS graduate,39,41610,915420,,,1
Connecticut,Associate Degree,39,49709,978068.9123,,,1
Connecticut,All Majors Combined,39,71512,1245976.282,,,0
Connecticut,Bachelor's in Biological Agricultural and Environmental Sciences,39,75037,1309426.282,,,0
Connecticut,Bachelor's in Business,39,80851,1414078.282,,,0
Connecticut,Bachelor's in Communications,39,70716,1231648.282,,,0
Connecticut,Bachelor's in Computers Mathematics and Statistics,39,80949,1415842.282,,,0
Connecticut,Bachelor's in Education,39,63127,1095046.282,,,0
Connecticut,Bachelor's in Engineering,39,94186,1654108.282,,,0
Connecticut,Bachelor's in Liberal Arts and History,39,66632,1158136.282,,,0
Connecticut,Bachelor's in Literature and Languages,39,58192,1006216.282,,,0
Connecticut,Bachelor's in Multidisciplinary Studies,39,71408,1244104.282,,,0
Connecticut,Bachelor's in Other,39,64746,1124188.282,,,0
Connecticut,Bachelor's in Physical and Related Sciences,39,69743,1214134.282,,,0
Connecticut,Bachelor's in Psychology,39,61932,1073536.282,,,0
Connecticut,Bachelor's in Science and Engineering Related Fields,39,71259,1241422.282,,,0
Connecticut,Bachelor's in Social Sciences,39,67955,1181950.282,,,0
Connecticut,Bachelor's in Visual and Performing Arts,39,54400,937960.2815,,,0
Delaware,HS did not graduate,16,34578,34578,,30.19267455,1
Delaware,HS graduate,18,39820,39820,30.19267455,,1
Delaware,Associate Degree,20,44530,24794.71341,34.88095725,40.09878696,1
Delaware,All Majors Combined,22,65284,30403.82791,28.89253475,28.62488894,0
Delaware,Bachelor's in Biological Agricultural and Environmental Sciences,22,70784,35903.82791,27.69359145,27.27051324,0
Delaware,Bachelor's in Business,22,77211,42330.82791,26.68452073,26.19269803,0
Delaware,Bachelor's in Communications,22,36346,1465.827906,158.074758,-34.88951413,0
Delaware,Bachelor's in Computers Mathematics and Statistics,22,45437,10556.82791,43.31772466,55.56652521,0
Delaware,Bachelor's in Education,22,60253,25372.82791,30.43907194,30.50228415,0
Delaware,Bachelor's in Engineering,22,87564,52683.82791,25.5738152,25.06669261,0
Delaware,Bachelor's in Liberal Arts and History,22,75703,40822.82791,26.89296467,26.41092362,0
Delaware,Bachelor's in Literature and Languages,22,55543,20662.82791,32.55965524,33.34879934,0
Delaware,Bachelor's in Multidisciplinary Studies,22,59192,24311.82791,30.84594833,31.02272208,0
Delaware,Bachelor's in Other,22,58868,23987.82791,30.97728168,31.19320517,0
Delaware,Bachelor's in Physical and Related Sciences,22,70041,35160.82791,27.83383166,27.42467728,0
Delaware,Bachelor's in Psychology,22,66239,31358.82791,28.65446992,28.34926273,0
Delaware,Bachelor's in Science and Engineering Related Fields,22,75410,40529.82791,26.93525108,26.45546985,0
Delaware,Bachelor's in Social Sciences,22,53167,18286.82791,34.03718178,35.54710213,0
Delaware,Bachelor's in Visual and Performing Arts,22,40318,5437.827906,63.2209359,410.8798636,0
Delaware,HS did not graduate,39,34578,829872,,,1
Delaware,HS graduate,39,39820,876040,,,1
Delaware,Associate Degree,39,44530,870864.7134,,,1
Delaware,All Majors Combined,39,65284,1140231.828,,,0
Delaware,Bachelor's in Biological Agricultural and Environmental Sciences,39,70784,1239231.828,,,0
Delaware,Bachelor's in Business,39,77211,1354917.828,,,0
Delaware,Bachelor's in Communications,39,36346,619347.8279,,,0
Delaware,Bachelor's in Computers Mathematics and Statistics,39,45437,782985.8279,,,0
Delaware,Bachelor's in Education,39,60253,1049673.828,,,0
Delaware,Bachelor's in Engineering,39,87564,1541271.828,,,0
Delaware,Bachelor's in Liberal Arts and History,39,75703,1327773.828,,,0
Delaware,Bachelor's in Literature and Languages,39,55543,964893.8279,,,0
Delaware,Bachelor's in Multidisciplinary Studies,39,59192,1030575.828,,,0
Delaware,Bachelor's in Other,39,58868,1024743.828,,,0
Delaware,Bachelor's in Physical and Related Sciences,39,70041,1225857.828,,,0
Delaware,Bachelor's in Psychology,39,66239,1157421.828,,,0
Delaware,Bachelor's in Science and Engineering Related Fields,39,75410,1322499.828,,,0
Delaware,Bachelor's in Social Sciences,39,53167,922125.8279,,,0
Delaware,Bachelor's in Visual and Performing Arts,39,40318,690843.8279,,,0
District_of_Columbia,HS did not graduate,16,26970,26970,,21.63840399,1
District_of_Columbia,HS graduate,18,38599,38599,21.63840399,,1
District_of_Columbia,Associate Degree,20,48566,31107.16061,24.80379882,28.49702412,1
District_of_Columbia,All Majors Combined,22,89341,54840.06213,24.14763172,24.72269398,0
District_of_Columbia,Bachelor's in Biological Agricultural and Environmental Sciences,22,93784,59283.06213,23.93832038,24.42297613,0
District_of_Columbia,Bachelor's in Business,22,102628,68127.06213,23.59484705,23.95017785,0
District_of_Columbia,Bachelor's in Communications,22,77293,42792.06213,24.9012169,25.8818147,0
District_of_Columbia,Bachelor's in Computers Mathematics and Statistics,22,104594,70093.06213,23.52912679,23.86229166,0
District_of_Columbia,Bachelor's in Education,22,70485,35984.06213,25.51156929,26.92413404,0
District_of_Columbia,Bachelor's in Engineering,22,112447,77946.06213,23.29676916,23.55791542,0
District_of_Columbia,Bachelor's in Liberal Arts and History,22,97090,62589.06213,23.79978519,24.22950433,0
District_of_Columbia,Bachelor's in Literature and Languages,22,86784,52283.06213,24.28219042,24.9202436,0
District_of_Columbia,Bachelor's in Multidisciplinary Studies,22,82696,48195.06213,24.52296841,25.28366868,0
District_of_Columbia,Bachelor's in Other,22,76995,42494.06213,24.92445653,25.91970356,0
District_of_Columbia,Bachelor's in Physical and Related Sciences,22,80874,46373.06213,24.64204767,25.46828948,0
District_of_Columbia,Bachelor's in Psychology,22,71834,37333.06213,25.37591249,26.68367498,0
District_of_Columbia,Bachelor's in Science and Engineering Related Fields,22,77615,43114.06213,24.87641303,25.84152496,0
District_of_Columbia,Bachelor's in Social Sciences,22,94380,59879.06213,23.91234146,24.38640286,0
District_of_Columbia,Bachelor's in Visual and Performing Arts,22,73475,38974.06213,25.22150173,26.41624435,0
District_of_Columbia,HS did not graduate,39,26970,647280,,,1
District_of_Columbia,HS graduate,39,38599,849178,,,1
District_of_Columbia,Associate Degree,39,48566,953861.1606,,,1
District_of_Columbia,All Majors Combined,39,89341,1573637.062,,,0
District_of_Columbia,Bachelor's in Biological Agricultural and Environmental Sciences,39,93784,1653611.062,,,0
District_of_Columbia,Bachelor's in Business,39,102628,1812803.062,,,0
District_of_Columbia,Bachelor's in Communications,39,77293,1356773.062,,,0
District_of_Columbia,Bachelor's in Computers Mathematics and Statistics,39,104594,1848191.062,,,0
District_of_Columbia,Bachelor's in Education,39,70485,1234229.062,,,0
District_of_Columbia,Bachelor's in Engineering,39,112447,1989545.062,,,0
District_of_Columbia,Bachelor's in Liberal Arts and History,39,97090,1713119.062,,,0
District_of_Columbia,Bachelor's in Literature and Languages,39,86784,1527611.062,,,0
District_of_Columbia,Bachelor's in Multidisciplinary Studies,39,82696,1454027.062,,,0
District_of_Columbia,Bachelor's in Other,39,76995,1351409.062,,,0
District_of_Columbia,Bachelor's in Physical and Related Sciences,39,80874,1421231.062,,,0
District_of_Columbia,Bachelor's in Psychology,39,71834,1258511.062,,,0
District_of_Columbia,Bachelor's in Science and Engineering Related Fields,39,77615,1362569.062,,,0
District_of_Columbia,Bachelor's in Social Sciences,39,94380,1664339.062,,,0
District_of_Columbia,Bachelor's in Visual and Performing Arts,39,73475,1288049.062,,,0
Florida,HS did not graduate,16,28063,28063,,25.36951983,1
Florida,HS graduate,18,34769,34769,25.36951983,,1
Florida,Associate Degree,20,41565,21458.86609,28.80285394,32.19072012,1
Florida,All Majors Combined,22,56340,20524.15353,28.22119908,29.10773012,0
Florida,Bachelor's in Biological Agricultural and Environmental Sciences,22,60461,24645.15353,27.30266827,27.8072492,0
Florida,Bachelor's in Business,22,64042,28226.15353,26.67536192,26.97451052,0
Florida,Bachelor's in Communications,22,50589,14773.15353,30.06480718,32.0551104,0
Florida,Bachelor's in Computers Mathematics and Statistics,22,69246,33430.15353,25.95820718,26.07271069,0
Florida,Bachelor's in Education,22,49144,13328.15353,30.68615561,33.16638932,0
Florida,Bachelor's in Engineering,22,74965,39149.15353,25.3536277,25.35097638,0
Florida,Bachelor's in Liberal Arts and History,22,50296,14480.15353,30.18426872,32.26372425,0
Florida,Bachelor's in Literature and Languages,22,49076,13260.15353,30.7175009,33.22421517,0
