State,Education,Major
Colorado,Bachelors_degree,Computers_Mathematics_and_Statistics
Colorado,Bachelors_degree,Education
Colorado,Bachelors_degree,Engineering
Colorado,Bachelors_degree,Liberal_Arts_and_History
Colorado,Bachelors_degree,Literature_and_Languages
Colorado,Bachelors_degree,Multidisciplinary_Studies
Colorado,Bachelors_degree,Other
Colorado,Bachelors_degree,Physical_and_Related_Sciences
Colorado,Bachelors_degree,Psychology
Colorado,Bachelors_degree,Science_and_Engineering_Related_Fields
Colorado,Bachelors_degree,Social_Sciences
Colorado,Bachelors_degree,Visual_and_Performing_Arts
Colorado,Less_than_high_school_graduate,
Colorado,High_school_graduate_includes_equivalency,
Colorado,Some_college_or_associates_degree,
Colorado,Bachelors_degree,Combined_25_to_39_years
Colorado,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Colorado,Bachelors_degree,Business
Colorado,Bachelors_degree,Communications
Colorado,Bachelors_degree,Computers_Mathematics_and_Statistics
Colorado,Bachelors_degree,Education
Colorado,Bachelors_degree,Engineering
Colorado,Bachelors_degree,Liberal_Arts_and_History
Colorado,Bachelors_degree,Literature_and_Languages
Colorado,Bachelors_degree,Multidisciplinary_Studies
Colorado,Bachelors_degree,Other
Colorado,Bachelors_degree,Physical_and_Related_Sciences
Colorado,Bachelors_degree,Psychology
Colorado,Bachelors_degree,Science_and_Engineering_Related_Fields
Colorado,Bachelors_degree,Social_Sciences
Colorado,Bachelors_degree,Visual_and_Performing_Arts
Connecticut,Less_than_high_school_graduate,
Connecticut,High_school_graduate_includes_equivalency,
Connecticut,Some_college_or_associates_degree,
Connecticut,Bachelors_degree,Combined_25_to_39_years
Connecticut,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Connecticut,Bachelors_degree,Business
Connecticut,Bachelors_degree,Communications
Connecticut,Bachelors_degree,Computers_Mathematics_and_Statistics
Connecticut,Bachelors_degree,Education
Connecticut,Bachelors_degree,Engineering
Connecticut,Bachelors_degree,Liberal_Arts_and_History
Connecticut,Bachelors_degree,Literature_and_Languages
Connecticut,Bachelors_degree,Multidisciplinary_Studies
Connecticut,Bachelors_degree,Other
Connecticut,Bachelors_degree,Physical_and_Related_Sciences
Connecticut,Bachelors_degree,Psychology
Connecticut,Bachelors_degree,Science_and_Engineering_Related_Fields
Connecticut,Bachelors_degree,Social_Sciences
Connecticut,Bachelors_degree,Visual_and_Performing_Arts
Connecticut,Less_than_high_school_graduate,
Connecticut,High_school_graduate_includes_equivalency,
Connecticut,Some_college_or_associates_degree,
Connecticut,Bachelors_degree,Combined_25_to_39_years
Connecticut,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Connecticut,Bachelors_degree,Business
Connecticut,Bachelors_degree,Communications
Connecticut,Bachelors_degree,Computers_Mathematics_and_Statistics
Connecticut,Bachelors_degree,Education
Connecticut,Bachelors_degree,Engineering
Connecticut,Bachelors_degree,Liberal_Arts_and_History
Connecticut,Bachelors_degree,Literature_and_Languages
Connecticut,Bachelors_degree,Multidisciplinary_Studies
Connecticut,Bachelors_degree,Other
Connecticut,Bachelors_degree,Physical_and_Related_Sciences
Connecticut,Bachelors_degree,Psychology
Connecticut,Bachelors_degree,Science_and_Engineering_Related_Fields
Connecticut,Bachelors_degree,Social_Sciences
Connecticut,Bachelors_degree,Visual_and_Performing_Arts
Delaware,Less_than_high_school_graduate,
Delaware,High_school_graduate_includes_equivalency,
Delaware,Some_college_or_associates_degree,
Delaware,Bachelors_degree,Combined_25_to_39_years
Delaware,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Delaware,Bachelors_degree,Business
Delaware,Bachelors_degree,Communications
Delaware,Bachelors_degree,Computers_Mathematics_and_Statistics
Delaware,Bachelors_degree,Education
Delaware,Bachelors_degree,Engineering
Delaware,Bachelors_degree,Liberal_Arts_and_History
Delaware,Bachelors_degree,Literature_and_Languages
Delaware,Bachelors_degree,Multidisciplinary_Studies
Delaware,Bachelors_degree,Other
Delaware,Bachelors_degree,Physical_and_Related_Sciences
Delaware,Bachelors_degree,Psychology
Delaware,Bachelors_degree,Science_and_Engineering_Related_Fields
Delaware,Bachelors_degree,Social_Sciences
Delaware,Bachelors_degree,Visual_and_Performing_Arts
Delaware,Less_than_high_school_graduate,
Delaware,High_school_graduate_includes_equivalency,
Delaware,Some_college_or_associates_degree,
Delaware,Bachelors_degree,Combined_25_to_39_years
Delaware,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Delaware,Bachelors_degree,Business
Delaware,Bachelors_degree,Communications
Delaware,Bachelors_degree,Computers_Mathematics_and_Statistics
Delaware,Bachelors_degree,Education
Delaware,Bachelors_degree,Engineering
Delaware,Bachelors_degree,Liberal_Arts_and_History
Delaware,Bachelors_degree,Literature_and_Languages
Delaware,Bachelors_degree,Multidisciplinary_Studies
Delaware,Bachelors_degree,Other
Delaware,Bachelors_degree,Physical_and_Related_Sciences
Delaware,Bachelors_degree,Psychology
Delaware,Bachelors_degree,Science_and_Engineering_Related_Fields
Delaware,Bachelors_degree,Social_Sciences
Delaware,Bachelors_degree,Visual_and_Performing_Arts
District_of_Columbia,Less_than_high_school_graduate,
District_of_Columbia,High_school_graduate_includes_equivalency,
District_of_Columbia,Some_college_or_associates_degree,
District_of_Columbia,Bachelors_degree,Combined_25_to_39_years
District_of_Columbia,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
District_of_Columbia,Bachelors_degree,Business
District_of_Columbia,Bachelors_degree,Communications
District_of_Columbia,Bachelors_degree,Computers_Mathematics_and_Statistics
District_of_Columbia,Bachelors_degree,Education
District_of_Columbia,Bachelors_degree,Engineering
District_of_Columbia,Bachelors_degree,Liberal_Arts_and_History
District_of_Columbia,Bachelors_degree,Literature_and_Languages
District_of_Columbia,Bachelors_degree,Multidisciplinary_Studies
District_of_Columbia,Bachelors_degree,Other
District_of_Columbia,Bachelors_degree,Physical_and_Related_Sciences
District_of_Columbia,Bachelors_degree,Psychology
District_of_Columbia,Bachelors_degree,Science_and_Engineering_Related_Fields
District_of_Columbia,Bachelors_degree,Social_Sciences
District_of_Columbia,Bachelors_degree,Visual_and_Performing_Arts
District_of_Columbia,Less_than_high_school_graduate,
District_of_Columbia,High_school_graduate_includes_equivalency,
District_of_Columbia,Some_college_or_associates_degree,
District_of_Columbia,Bachelors_degree,Combined_25_to_39_years
District_of_Columbia,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
District_of_Columbia,Bachelors_degree,Business
District_of_Columbia,Bachelors_degree,Communications
District_of_Columbia,Bachelors_degree,Computers_Mathematics_and_Statistics
District_of_Columbia,Bachelors_degree,Education
District_of_Columbia,Bachelors_degree,Engineering
District_of_Columbia,Bachelors_degree,Liberal_Arts_and_History
District_of_Columbia,Bachelors_degree,Literature_and_Languages
District_of_Columbia,Bachelors_degree,Multidisciplinary_Studies
District_of_Columbia,Bachelors_degree,Other
District_of_Columbia,Bachelors_degree,Physical_and_Related_Sciences
District_of_Columbia,Bachelors_degree,Psychology
District_of_Columbia,Bachelors_degree,Science_and_Engineering_Related_Fields
District_of_Columbia,Bachelors_degree,Social_Sciences
District_of_Columbia,Bachelors_degree,Visual_and_Performing_Arts
Florida,Less_than_high_school_graduate,
Florida,High_school_graduate_includes_equivalency,
Florida,Some_college_or_associates_degree,
Florida,Bachelors_degree,Combined_25_to_39_years
Florida,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Florida,Bachelors_degree,Business
Florida,Bachelors_degree,Communications
Florida,Bachelors_degree,Computers_Mathematics_and_Statistics
Florida,Bachelors_degree,Education
Florida,Bachelors_degree,Engineering
Florida,Bachelors_degree,Liberal_Arts_and_History
Florida,Bachelors_degree,Literature_and_Languages
Florida,Bachelors_degree,Multidisciplinary_Studies
Florida,Bachelors_degree,Other
Florida,Bachelors_degree,Physical_and_Related_Sciences
Florida,Bachelors_degree,Psychology
Florida,Bachelors_degree,Science_and_Engineering_Related_Fields
Florida,Bachelors_degree,Social_Sciences
Florida,Bachelors_degree,Visual_and_Performing_Arts
Florida,Less_than_high_school_graduate,
Florida,High_school_graduate_includes_equivalency,
Florida,Some_college_or_associates_degree,
Florida,Bachelors_degree,Combined_25_to_39_years
Florida,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Florida,Bachelors_degree,Business
Florida,Bachelors_degree,Communications
Florida,Bachelors_degree,Computers_Mathematics_and_Statistics
Florida,Bachelors_degree,Education
Florida,Bachelors_degree,Engineering
Florida,Bachelors_degree,Liberal_Arts_and_History
Florida,Bachelors_degree,Literature_and_Languages
Florida,Bachelors_degree,Multidisciplinary_Studies
Florida,Bachelors_degree,Other
Florida,Bachelors_degree,Physical_and_Related_Sciences
Florida,Bachelors_degree,Psychology
Florida,Bachelors_degree,Science_and_Engineering_Related_Fields
Florida,Bachelors_degree,Social_Sciences
Florida,Bachelors_degree,Visual_and_Performing_Arts
Georgia,Less_than_high_school_graduate,
Georgia,High_school_graduate_includes_equivalency,
Georgia,Some_college_or_associates_degree,
Georgia,Bachelors_degree,Combined_25_to_39_years
Georgia,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Georgia,Bachelors_degree,Business
Georgia,Bachelors_degree,Communications
Georgia,Bachelors_degree,Computers_Mathematics_and_Statistics
Georgia,Bachelors_degree,Education
Georgia,Bachelors_degree,Engineering
Georgia,Bachelors_degree,Liberal_Arts_and_History
Georgia,Bachelors_degree,Literature_and_Languages
Georgia,Bachelors_degree,Multidisciplinary_Studies
Georgia,Bachelors_degree,Other
Georgia,Bachelors_degree,Physical_and_Related_Sciences
Georgia,Bachelors_degree,Psychology
Georgia,Bachelors_degree,Science_and_Engineering_Related_Fields
Georgia,Bachelors_degree,Social_Sciences
Georgia,Bachelors_degree,Visual_and_Performing_Arts
Georgia,Less_than_high_school_graduate,
Georgia,High_school_graduate_includes_equivalency,
Georgia,Some_college_or_associates_degree,
Georgia,Bachelors_degree,Combined_25_to_39_years
Georgia,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences
Georgia,Bachelors_degree,Business
Georgia,Bachelors_degree,Communications
Georgia,Bachelors_degree,Computers_Mathematics_and_Statistics
Georgia,Bachelors_degree,Education
Georgia,Bachelors_degree,Engineering
