"GEO_ID","NAME","B20004_001E","B20004_001EA","B20004_001M","B20004_001MA","B20004_002E","B20004_002EA","B20004_002M","B20004_002MA","B20004_003E","B20004_003EA","B20004_003M","B20004_003MA","B20004_004E","B20004_004M","B20004_004MA","B20004_004EA","B20004_005E","B20004_005EA","B20004_005M","B20004_005MA","B20004_006E","B20004_006EA","B20004_006M","B20004_006MA","B20004_007E","B20004_007EA","B20004_007M","B20004_007MA","B20004_008E","B20004_008EA","B20004_008M","B20004_008MA","B20004_009E","B20004_009EA","B20004_009M","B20004_009MA","B20004_010E","B20004_010EA","B20004_010M","B20004_010MA","B20004_011E","B20004_011EA","B20004_011M","B20004_011MA","B20004_012E","B20004_012EA","B20004_012M","B20004_012MA","B20004_013E","B20004_013EA","B20004_013M","B20004_013MA","B20004_014E","B20004_014EA","B20004_014M","B20004_014MA","B20004_015E","B20004_015EA","B20004_015M","B20004_015MA","B20004_016E","B20004_016EA","B20004_016M","B20004_016MA","B20004_017E","B20004_017EA","B20004_017M","B20004_017MA","B20004_018E","B20004_018EA","B20004_018M","B20004_018MA",
"0400000US23","Maine","45966","null","802","null","31011","null","1816","null","36375","null","1080","null","43898","1709","null","null","53866","null","1760","null","69390","null","3263","null","52149","null","1051","null","32142","null","4130","null","41301","null","1129","null","54061","null","1839","null","63107","null","2099","null","81854","null","5251","null","40876","null","818","null","28273","null","3093","null","31194","null","1045","null","36099","null","1635","null","48718","null","2529","null","62836","null","2235","null",
"0400000US24","Maryland","61166","null","532","null","33805","null","1890","null","40888","null","673","null","50548","879","null","null","76711","null","1358","null","99484","null","1941","null","68040","null","1538","null","38901","null","2215","null","47057","null","1383","null","61134","null","1543","null","90008","null","2681","null","116827","null","2669","null","53748","null","943","null","26691","null","1976","null","33132","null","1330","null","42177","null","860","null","66173","null","2036","null","86330","null","2151","null",
"0400000US25","Massachusetts","62009","null","462","null","34472","null","2061","null","42196","null","531","null","49021","1132","null","null","77137","null","1049","null","95136","null","1232","null","71293","null","944","null","39903","null","1882","null","50768","null","797","null","57774","null","2007","null","90795","null","1208","null","116421","null","3308","null","53409","null","673","null","28465","null","1973","null","33506","null","1255","null","41777","null","831","null","64567","null","1500","null","83160","null","1435","null",
"0400000US26","Michigan","47259","null","406","null","30404","null","670","null","35865","null","453","null","41762","337","null","null","63077","null","740","null","78984","null","1580","null","54664","null","487","null","36227","null","1855","null","41633","null","449","null","51679","null","526","null","78167","null","1845","null","97014","null","2127","null","39439","null","492","null","22296","null","1422","null","28232","null","1039","null","34078","null","1013","null","52364","null","857","null","69239","null","1589","null",
"0400000US27","Minnesota","54047","null","337","null","33274","null","1795","null","39997","null","757","null","49014","708","null","null","68504","null","1126","null","82324","null","1259","null","61950","null","422","null","40519","null","1854","null","46641","null","966","null","58978","null","936","null","80711","null","1329","null","92432","null","2518","null","46770","null","616","null","26364","null","1185","null","31505","null","548","null","40620","null","503","null","59325","null","1159","null","76253","null","1213","null",
"0400000US28","Mississippi","40342","null","446","null","26775","null","1916","null","32789","null","1316","null","37485","981","null","null","50731","null","1381","null","57266","null","2090","null","46767","null","1112","null","31381","null","2029","null","40281","null","1575","null","47196","null","1841","null","64800","null","5062","null","70582","null","4212","null","34345","null","955","null","19639","null","1824","null","25964","null","1067","null","31293","null","805","null","44097","null","1628","null","52805","null","1691","null",
"0400000US29","Missouri","45456","null","476","null","28414","null","1565","null","35612","null","519","null","41874","441","null","null","57693","null","1123","null","70894","null","1418","null","52525","null","566","null","33801","null","1967","null","41778","null","714","null","51198","null","795","null","67624","null","2040","null","88118","null","3084","null","39323","null","629","null","21745","null","1125","null","28651","null","1155","null","35537","null","656","null","49601","null","1286","null","62286","null","1156","null",
"0400000US30","Montana","43414","null","1266","null","30133","null","4113","null","35674","null","923","null","39948","1161","null","null","50894","null","1378","null","68235","null","2421","null","51103","null","1103","null","35119","null","5698","null","45143","null","2740","null","48499","null","3225","null","61505","null","2758","null","79710","null","10188","null","36557","null","763","null","19806","null","9578","null","26354","null","1302","null","32932","null","1357","null","44867","null","2877","null","62648","null","3142","null",
"0400000US31","Nebraska","49244","null","870","null","33308","null","2022","null","38758","null","1570","null","44111","1179","null","null","58817","null","1729","null","74208","null","2651","null","55557","null","1016","null","37436","null","3564","null","44274","null","1552","null","55181","null","1390","null","68552","null","3154","null","86911","null","5993","null","41272","null","605","null","24084","null","2408","null","31336","null","1048","null","35021","null","1310","null","50596","null","1030","null","66270","null","2007","null",
"0400000US32","Nevada","44247","null","729","null","34591","null","1524","null","37581","null","1246","null","43743","1130","null","null","59999","null","2381","null","75253","null","2169","null","49663","null","1035","null","37212","null","1287","null","41450","null","953","null","50926","null","1377","null","68484","null","3545","null","87252","null","6825","null","40424","null","593","null","30276","null","1017","null","32870","null","1863","null","38570","null","1873","null","51854","null","1791","null","69550","null","2791","null",
"0400000US33","New Hampshire","55756","null","1483","null","38365","null","2874","null","42335","null","1476","null","48955","2127","null","null","67982","null","2341","null","84072","null","2366","null","66654","null","1635","null","41137","null","2647","null","49876","null","2878","null","61006","null","2883","null","81559","null","3283","null","103215","null","3420","null","47833","null","1434","null","34153","null","3292","null","35764","null","1532","null","39050","null","2644","null","55778","null","2881","null","74417","null","3379","null",
"0400000US34","New Jersey","60145","null","574","null","31962","null","603","null","40193","null","538","null","50489","568","null","null","76725","null","1057","null","98247","null","1908","null","68827","null","1002","null","36864","null","1516","null","48595","null","1540","null","58845","null","1456","null","91151","null","1704","null","121917","null","2693","null","51034","null","499","null","25736","null","1127","null","31510","null","641","null","41791","null","635","null","64680","null","1119","null","82728","null","1042","null",
"0400000US35","New Mexico","41866","null","573","null","26396","null","1303","null","31961","null","744","null","39701","1458","null","null","55322","null","1829","null","73105","null","2622","null","46491","null","1394","null","30738","null","937","null","36377","null","1461","null","45698","null","2086","null","64587","null","3272","null","90005","null","6312","null","37774","null","1037","null","20330","null","1347","null","27001","null","1732","null","33991","null","1747","null","50484","null","2096","null","64484","null","2352","null",
"0400000US36","New York","53631","null","311","null","29259","null","783","null","37377","null","416","null","46298","626","null","null","71567","null","807","null","87776","null","1143","null","60517","null","460","null","33425","null","1248","null","43834","null","794","null","53992","null","663","null","81761","null","905","null","102467","null","1226","null","48217","null","528","null","22272","null","460","null","30828","null","389","null","39669","null","777","null","62336","null","731","null","80242","null","940","null",
"0400000US37","North Carolina","46075","null","437","null","30324","null","538","null","35269","null","606","null","41354","353","null","null","59713","null","990","null","76062","null","1365","null","52127","null","459","null","33232","null","1545","null","40812","null","536","null","48809","null","1107","null","72567","null","1862","null","98379","null","4135","null","40611","null","342","null","22752","null","1630","null","29399","null","1139","null","35405","null","421","null","51352","null","717","null","64377","null","1203","null",
"0400000US38","North Dakota","50304","null","904","null","41762","null","2849","null","39250","null","1816","null","47258","1504","null","null","56830","null","2007","null","71211","null","4930","null","57981","null","2122","null","47293","null","4355","null","46458","null","2294","null","58698","null","3201","null","69941","null","4451","null","83071","null","7455","null","41585","null","903","null","25384","null","2869","null","31425","null","1066","null","38419","null","2607","null","50888","null","1832","null","62432","null","4357","null",
