state,sex,education,estimate,margin_of_error
Louisiana,total,Less_than_high_school_graduate,25977,890
Louisiana,total,High_school_graduate_includes_equivalency,33568,1577
Louisiana,total,Some_college_or_associates_degree,40916,730
Louisiana,total,Bachelors_degree,55685,1818
Louisiana,total,Graduate_or_professional_degree,65857,2150
Louisiana,male,Male,52246,588
Louisiana,male,Less_than_high_school_graduate,31573,1190
Louisiana,male,High_school_graduate_includes_equivalency,44990,1372
Louisiana,male,Some_college_or_associates_degree,52442,1209
Louisiana,male,Bachelors_degree,69378,2406
Louisiana,male,Graduate_or_professional_degree,82457,3355
Louisiana,female,Female,35758,695
Louisiana,female,Less_than_high_school_graduate,19570,2349
Louisiana,female,High_school_graduate_includes_equivalency,25942,569
Louisiana,female,Some_college_or_associates_degree,32208,987
Louisiana,female,Bachelors_degree,49249,1882
Louisiana,female,Graduate_or_professional_degree,58210,2444
Maine,total,Total,45966,802
Maine,total,Less_than_high_school_graduate,31011,1816
Maine,total,High_school_graduate_includes_equivalency,36375,1080
Maine,total,Some_college_or_associates_degree,43898,1709
Maine,total,Bachelors_degree,53866,1760
Maine,total,Graduate_or_professional_degree,69390,3263
Maine,male,Male,52149,1051
Maine,male,Less_than_high_school_graduate,32142,4130
Maine,male,High_school_graduate_includes_equivalency,41301,1129
Maine,male,Some_college_or_associates_degree,54061,1839
Maine,male,Bachelors_degree,63107,2099
Maine,male,Graduate_or_professional_degree,81854,5251
Maine,female,Female,40876,818
Maine,female,Less_than_high_school_graduate,28273,3093
Maine,female,High_school_graduate_includes_equivalency,31194,1045
Maine,female,Some_college_or_associates_degree,36099,1635
Maine,female,Bachelors_degree,48718,2529
Maine,female,Graduate_or_professional_degree,62836,2235
Maryland,total,Total,61166,532
Maryland,total,Less_than_high_school_graduate,33805,1890
Maryland,total,High_school_graduate_includes_equivalency,40888,673
Maryland,total,Some_college_or_associates_degree,50548,879
Maryland,total,Bachelors_degree,76711,1358
Maryland,total,Graduate_or_professional_degree,99484,1941
Maryland,male,Male,68040,1538
Maryland,male,Less_than_high_school_graduate,38901,2215
Maryland,male,High_school_graduate_includes_equivalency,47057,1383
