state,education,degree,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39,age_range,sex
Arizona,Bachelors_degree,Engineering,86615,4397,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-1775525.21,43389.78968,1515844.79,25_to_39_years,
Arizona,Bachelors_degree,Liberal_Arts_and_History,56760,8183,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-1178425.21,13534.78968,978454.7897,25_to_39_years,
Arizona,Bachelors_degree,Literature_and_Languages,52459,5485,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-1092405.21,9233.789684,901036.7897,25_to_39_years,
Arizona,Bachelors_degree,Multidisciplinary_Studies,54175,7580,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-1126725.21,10949.78968,931924.7897,25_to_39_years,
Arizona,Bachelors_degree,Other,56087,2853,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-1164965.21,12861.78968,966340.7897,25_to_39_years,
Arizona,Bachelors_degree,Physical_and_Related_Sciences,62316,9343,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-1289545.21,19090.78968,1078462.79,25_to_39_years,
Arizona,Bachelors_degree,Psychology,53281,3091,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-1108845.21,10055.78968,915832.7897,25_to_39_years,
Arizona,Bachelors_degree,Science_and_Engineering_Related_Fields,62915,2123,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-1301525.21,19689.78968,1089244.79,25_to_39_years,
Arizona,Bachelors_degree,Social_Sciences,59144,5642,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-1226105.21,15918.78968,1021366.79,25_to_39_years,
Arizona,Bachelors_degree,Visual_and_Performing_Arts,47658,6892,AZ,61.125,8297.761905,32.75757576,5916.451613,8297.761905,33191.04762,360.210086,43225.21032,22,-996385.2103,4432.789684,814618.7897,25_to_39_years,
