,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,fed_student_loans,total_fed_student_loans,monthly_payment,total_paid,total_cost_of_fed_loan,age_starting_work,y_intercept,high_grad_age_intercept
45,Arizona,male,Some_college_or_associates_degree,51791,889,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,5916.451612903225,11832.90322580645,128.41809445633294,15410.171334759953,15410.171334759953,20.0,-947648.1713347599,0.0
46,Arizona,male,Bachelors_degree,75517,1812,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,43225.21031645141,22.0,-1553565.2103164515,0.0
47,Arizona,male,Graduate_or_professional_degree,95527,3287,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,0.0,0.0,0.0,0.0,0.0,26.0,-2292648.0,0.0
48,Arizona,female,Female,42429,513,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,0.0,0.0,0.0,0.0,0.0,,,0.0
49,Arizona,female,Less_than_high_school_graduate,25764,1544,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,0.0,0.0,0.0,0.0,0.0,16.0,-360696.0,0.0
50,Arizona,female,High_school_graduate_includes_equivalency,32739,1259,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,0.0,0.0,0.0,0.0,0.0,18.0,-523824.0,
51,Arizona,female,Some_college_or_associates_degree,39821,928,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,5916.451612903225,11832.90322580645,128.41809445633294,15410.171334759953,15410.171334759953,20.0,-732188.1713347599,0.0
52,Arizona,female,Bachelors_degree,53443,1205,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,8297.761904761905,33191.04761904762,360.21008597042845,43225.21031645141,43225.21031645141,22.0,-1112085.2103164515,0.0
53,Arizona,female,Graduate_or_professional_degree,65877,1760,AZ,61.125,8297.761904761905,32.75757575757576,5916.451612903225,62.470588235294116,6630.794117647059,0.0,0.0,0.0,0.0,0.0,26.0,-1581048.0,0.0
54,Arkansas,total,Total,41385,401,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,0.0,0.0,0.0,0.0,0.0,,,0.0
55,Arkansas,total,Less_than_high_school_graduate,30770,1084,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,0.0,0.0,0.0,0.0,0.0,16.0,-430780.0,0.0
56,Arkansas,total,High_school_graduate_includes_equivalency,34517,1008,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,0.0,0.0,0.0,0.0,0.0,18.0,-552272.0,
57,Arkansas,total,Some_college_or_associates_degree,38814,996,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,4533.4,9066.8,98.39860570120786,11807.832684144943,11807.832684144943,20.0,-710459.832684145,0.0
58,Arkansas,total,Bachelors_degree,53117,1497,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,6423.125,25692.5,278.83113964996284,33459.73675799554,33459.73675799554,22.0,-1095799.7367579956,0.0
59,Arkansas,total,Graduate_or_professional_degree,68769,2856,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,0.0,0.0,0.0,0.0,0.0,26.0,-1650456.0,0.0
60,Arkansas,male,Male,48162,1431,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,0.0,0.0,0.0,0.0,0.0,,,0.0
61,Arkansas,male,Less_than_high_school_graduate,35059,2198,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,0.0,0.0,0.0,0.0,0.0,16.0,-490826.0,0.0
62,Arkansas,male,High_school_graduate_includes_equivalency,40487,784,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,0.0,0.0,0.0,0.0,0.0,18.0,-647792.0,
63,Arkansas,male,Some_college_or_associates_degree,47765,3303,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,4533.4,9066.8,98.39860570120786,11807.832684144943,11807.832684144943,20.0,-871577.832684145,0.0
64,Arkansas,male,Bachelors_degree,66177,3698,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,6423.125,25692.5,278.83113964996284,33459.73675799554,33459.73675799554,22.0,-1356999.7367579956,0.0
65,Arkansas,male,Graduate_or_professional_degree,80253,6989,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,0.0,0.0,0.0,0.0,0.0,26.0,-1926072.0,0.0
66,Arkansas,female,Female,35280,631,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,0.0,0.0,0.0,0.0,0.0,,,0.0
67,Arkansas,female,Less_than_high_school_graduate,23546,2232,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,0.0,0.0,0.0,0.0,0.0,16.0,-329644.0,0.0
68,Arkansas,female,High_school_graduate_includes_equivalency,27660,1139,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,0.0,0.0,0.0,0.0,0.0,18.0,-442560.0,
69,Arkansas,female,Some_college_or_associates_degree,32257,1001,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,4533.4,9066.8,98.39860570120786,11807.832684144943,11807.832684144943,20.0,-592433.832684145,0.0
70,Arkansas,female,Bachelors_degree,46102,1918,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,6423.125,25692.5,278.83113964996284,33459.73675799554,33459.73675799554,22.0,-955499.7367579956,0.0
71,Arkansas,female,Graduate_or_professional_degree,62285,2085,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,0.0,0.0,0.0,0.0,0.0,26.0,-1494840.0,0.0
72,California,total,Total,52520,233,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,0.0,0.0,0.0,0.0,0.0,,,0.0
73,California,total,Less_than_high_school_graduate,30843,186,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,0.0,0.0,0.0,0.0,0.0,16.0,-431802.0,0.0
74,California,total,High_school_graduate_includes_equivalency,38507,460,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,0.0,0.0,0.0,0.0,0.0,18.0,-616112.0,
75,California,total,Some_college_or_associates_degree,47535,425,CA,40.59016393442623,6967.296969696969,33.48108108108108,6725.548387096775,52.327586206896555,6425.581081081081,6725.548387096775,13451.09677419355,145.9797467389443,17517.569608673315,17517.569608673315,20.0,-873147.5696086733,0.0
