State,Education,Major,Age,Median Salary,Gross Salary,Profitability Age vs. HS no grad,Profitability Age vs. HS
Colorado,Bachelors_degree,Literature_and_Languages,39,51585,893589.0423,,
Colorado,Bachelors_degree,Multidisciplinary_Studies,39,58763,1022793.042,,
Colorado,Bachelors_degree,Other,39,62558,1091103.042,,
Colorado,Bachelors_degree,Physical_and_Related_Sciences,39,67253,1175613.042,,
Colorado,Bachelors_degree,Psychology,39,54295,942369.0423,,
Colorado,Bachelors_degree,Science_and_Engineering_Related_Fields,39,67357,1177485.042,,
Colorado,Bachelors_degree,Social_Sciences,39,73201,1282677.042,,
Colorado,Bachelors_degree,Visual_and_Performing_Arts,39,51710,895839.0423,,
Connecticut,Less_than_high_school_graduate,,16,31767,31767,,22.45473941
Connecticut,High_school_graduate_includes_equivalency,,18,41610,41610,22.45473941,
Connecticut,Some_college_or_associates_degree,,20,49709,33597.91228,25.98010744,30.2646114
Connecticut,Bachelors_degree,Combined_25_to_39_years,22,71512,30272.28152,25.8332298,26.94534541
Connecticut,Bachelors_degree,Biological_Agricultural_and_Environmental_Sciences,22,75037,33797.28152,25.35802446,26.21293321
Connecticut,Bachelors_degree,Business,22,80851,39611.28152,24.72336644,25.29241657
Connecticut,Bachelors_degree,Communications,22,70716,29476.28152,25.95244341,27.13528889
Connecticut,Bachelors_degree,Computers_Mathematics_and_Statistics,22,80949,39709.28152,24.71395467,25.27923228
Connecticut,Bachelors_degree,Education,22,63127,21887.28152,27.39291194,29.65189006
Connecticut,Bachelors_degree,Engineering,22,94186,52946.28152,23.7142812,23.95008594
Connecticut,Bachelors_degree,Liberal_Arts_and_History,22,66632,25392.28152,26.64969793,28.29988484
Connecticut,Bachelors_degree,Literature_and_Languages,22,58192,16952.28152,28.77357497,32.5244071
Connecticut,Bachelors_degree,Multidisciplinary_Studies,22,71408,30168.28152,25.84853355,26.96958583
Connecticut,Bachelors_degree,Other,22,64746,23506.28152,27.02998024,28.97647469
Connecticut,Bachelors_degree,Physical_and_Related_Sciences,22,69743,28503.28152,26.10495362,27.38206798
Connecticut,Bachelors_degree,Psychology,22,61932,20692.28152,27.68578546,30.21945274
Connecticut,Bachelors_degree,Science_and_Engineering_Related_Fields,22,71259,30019.28152,25.87059958,27.00461123
Connecticut,Bachelors_degree,Social_Sciences,22,67955,26715.28152,26.40659109,27.88307908
Connecticut,Bachelors_degree,Visual_and_Performing_Arts,22,54400,13160.28152,30.24352576,36.23766368
Connecticut,Less_than_high_school_graduate,,39,31767,762408,,
Connecticut,High_school_graduate_includes_equivalency,,39,41610,915420,,
