,degree_age_range,state,degree,age_range,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,education,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
102,25_to_39_years_Biological_Agricultural_and_Environmental_Sciences,Arkansas,Biological_Agricultural_and_Environmental_Sciences,25_to_39_years,57000,5330,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,Bachelors_degree,6423.125,25692.5,278.83113964996284,33459.73675799554,22,-1173459.737,23540.26324200446,992540.2632420044
103,25_to_39_years_Physical_and_Related_Sciences,Arkansas,Physical_and_Related_Sciences,25_to_39_years,61495,15767,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,Bachelors_degree,6423.125,25692.5,278.83113964996284,33459.73675799554,22,-1263359.737,28035.26324200446,1073450.2632420044
104,25_to_39_years_Psychology,Arkansas,Psychology,25_to_39_years,42749,8863,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,Bachelors_degree,6423.125,25692.5,278.83113964996284,33459.73675799554,22,-888439.7368,9289.263242004461,736022.2632420044
105,25_to_39_years_Social_Sciences,Arkansas,Social_Sciences,25_to_39_years,49192,4181,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,Bachelors_degree,6423.125,25692.5,278.83113964996284,33459.73675799554,22,-1017299.737,15732.263242004461,851996.2632420044
106,25_to_39_years_Engineering,Arkansas,Engineering,25_to_39_years,72789,17201,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,Bachelors_degree,6423.125,25692.5,278.83113964996284,33459.73675799554,22,-1489239.737,39329.26324200446,1276742.2632420044
107,25_to_39_years_Multidisciplinary_Studies,Arkansas,Multidisciplinary_Studies,25_to_39_years,50461,14143,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,Bachelors_degree,6423.125,25692.5,278.83113964996284,33459.73675799554,22,-1042679.737,17001.26324200446,874838.2632420044
108,25_to_39_years_Science_and_Engineering_Related_Fields,Arkansas,Science_and_Engineering_Related_Fields,25_to_39_years,61354,2049,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,Bachelors_degree,6423.125,25692.5,278.83113964996284,33459.73675799554,22,-1260539.737,27894.26324200446,1070912.2632420044
109,25_to_39_years_Business,Arkansas,Business,25_to_39_years,59681,3489,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,Bachelors_degree,6423.125,25692.5,278.83113964996284,33459.73675799554,22,-1227079.737,26221.26324200446,1040798.2632420044
110,25_to_39_years_Education,Arkansas,Education,25_to_39_years,46818,2582,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,Bachelors_degree,6423.125,25692.5,278.83113964996284,33459.73675799554,22,-969819.7368,13358.263242004461,809264.2632420044
111,25_to_39_years_Literature_and_Languages,Arkansas,Literature_and_Languages,25_to_39_years,50121,11570,AR,55.28,6423.125,18.72,4533.4,75.48275862068965,6801.6551724137935,Bachelors_degree,6423.125,25692.5,278.83113964996284,33459.73675799554,22,-1035879.737,16661.26324200446,868718.2632420044
