,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,2-3_year_pct_students_loans_avg,<2_year_pct_students_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,age_39,y_intercept,gross_at_starting_age,gross_at_39,age_of_profitability_high_school,gross_salary_at_proftability_high_school,age_of_profitability_less_than_high_school,gross_salary_at_proftability_less_than_high_school
796,Utah,total,Bachelors_degree,60973,1200,UT,54.11111111,20.2,46.51428571,6882.944444,27531.77778,298.7921368,35855.05641,22,39,-1255315.056,25117.94359,1061658.944,29.79899652,561619.1583,31.09259421,640493.6901
797,Utah,total,Graduate_or_professional_degree,90548,2583,UT,54.11111111,20.2,46.51428571,0,0,0,0,26,39,-2173152,90548,1267672,30.53185684,591446.5736,31.06006481,639274.7487
810,Vermont,total,Total,50561,972,VT,57.83333333,14,70.5,0,0,0,0,,,,50561,,,,,
811,Vermont,total,Less_than_high_school_graduate,34612,3841,VT,57.83333333,14,70.5,0,0,0,0,16,39,-484568,34612,830688,26.21605667,422822.1535,#DIV/0!,#DIV/0!
812,Vermont,total,High_school_graduate_includes_equivalency,41388,1466,VT,57.83333333,14,70.5,0,0,0,0,18,39,-662208,41388,910536,#DIV/0!,#DIV/0!,26.21605667,422822.1535
813,Vermont,total,Some_college_or_associates_degree,44003,3213,VT,57.83333333,14,70.5,4687,9374,101.732533,12207.90396,20,39,-804261.904,31795.09604,867852.096,54.32271662,1586100.595,34.04258375,693713.9086
814,Vermont,total,Bachelors_degree,54163,2295,VT,57.83333333,14,70.5,8276.416667,33105.66667,359.2834783,43114.01739,22,39,-1126374.017,11048.98261,931819.9826,36.33393483,841580.8945,32.82727315,651649.5783
815,Vermont,total,Graduate_or_professional_degree,68409,2487,VT,57.83333333,14,70.5,0,0,0,0,26,39,-1641816,68409,957726,36.25358055,838255.1917,34.24114566,700586.5337
828,Virginia,total,Total,55607,529,VA,57.10344828,29.18918919,59.96153846,0,0,0,0,,,,55607,,,,,
829,Virginia,total,Less_than_high_school_graduate,30436,890,VA,57.10344828,29.18918919,59.96153846,0,0,0,0,16,39,-426104,30436,730464,22.54960189,260215.6832,#DIV/0!,#DIV/0!
830,Virginia,total,High_school_graduate_includes_equivalency,39730,835,VA,57.10344828,29.18918919,59.96153846,0,0,0,0,18,39,-635680,39730,874060,#DIV/0!,#DIV/0!,22.54960189,260215.6832
831,Virginia,total,Some_college_or_associates_degree,45135,748,VA,57.10344828,29.18918919,59.96153846,5712.363636,11424.72727,123.9883128,14878.59753,20,39,-827308.5975,30256.40247,887821.4025,35.45394959,772905.4172,27.29468655,404637.0797
832,Virginia,total,Bachelors_degree,73893,1062,VA,57.10344828,29.18918919,59.96153846,8036.125,32144.5,348.8522942,41862.2753,22,39,-1519722.275,32030.7247,1288211.725,25.87718512,392420.5649,25.16552627,339833.9577
833,Virginia,total,Graduate_or_professional_degree,96914,1436,VA,57.10344828,29.18918919,59.96153846,0,0,0,0,26,39,-2325936,96914,1356796,29.5581981,538667.2104,28.57835675,443706.866
846,Washington,total,Total,59430,775,WA,26.54545455,42.15384615,63.75,0,0,0,0,,,,59430,,,,,
847,Washington,total,Less_than_high_school_graduate,36000,984,WA,26.54545455,42.15384615,63.75,0,0,0,0,16,39,-504000,36000,864000,27.45038168,484213.7405,#DIV/0!,#DIV/0!
848,Washington,total,High_school_graduate_includes_equivalency,42288,749,WA,26.54545455,42.15384615,63.75,0,0,0,0,18,39,-676608,42288,930336,#DIV/0!,#DIV/0!,27.45038168,484213.7405
849,Washington,total,Some_college_or_associates_degree,51740,658,WA,26.54545455,42.15384615,63.75,6383.916667,12767.83333,138.5645429,16627.74515,20,39,-947947.7452,35112.25485,1018172.255,28.70712496,537358.9004,28.2050664,511382.3904
850,Washington,total,Bachelors_degree,76376,1126,WA,26.54545455,42.15384615,63.75,6078.811321,24315.24528,263.8843068,31666.11682,22,39,-1559186.117,44709.88318,1343101.883,25.89116747,418277.6901,26.13399338,436823.7618
851,Washington,total,Graduate_or_professional_degree,100613,1148,WA,26.54545455,42.15384615,63.75,0,0,0,0,26,39,-2414712,100613,1408582,29.80032576,583588.1758,29.57163419,560578.8309
864,West_Virginia,total,Total,42738,814,WV,59.95833333,36.82608696,18.21052632,0,0,0,0,,,,42738,,,,,
865,West_Virginia,total,Less_than_high_school_graduate,26692,2487,WV,59.95833333,36.82608696,18.21052632,0,0,0,0,16,39,-373688,26692,640608,22.38564593,223829.6612,#DIV/0!,#DIV/0!
866,West_Virginia,total,High_school_graduate_includes_equivalency,35052,1392,WV,59.95833333,36.82608696,18.21052632,0,0,0,0,18,39,-560832,35052,771144,#DIV/0!,#DIV/0!,22.38564593,223829.6612
867,West_Virginia,total,Some_college_or_associates_degree,40791,1001,WV,59.95833333,36.82608696,18.21052632,4613.166667,9226.333333,100.1299616,12015.59539,20,39,-746253.5954,28775.40461,803804.4046,32.30904258,571664.5607,26.42496598,331647.192
868,West_Virginia,total,Bachelors_degree,52887,1886,WV,59.95833333,36.82608696,18.21052632,7085.695652,28342.78261,307.5936704,36911.24044,22,39,-1094651.24,15975.75956,915054.7596,29.93099189,488309.1279,27.5229334,360954.1383
869,West_Virginia,total,Graduate_or_professional_degree,63974,3717,WV,59.95833333,36.82608696,18.21052632,0,0,0,0,26,39,-1535376,63974,895636,33.69559505,620265.9976,31.15948715,458021.0311
882,Wisconsin,total,Total,50039,335,WI,60.37209302,45,77.11764706,0,0,0,0,,,,50039,,,,,
883,Wisconsin,total,Less_than_high_school_graduate,35193,1456,WI,60.37209302,45,77.11764706,0,0,0,0,16,39,-492702,35193,844632,30.33231521,574783.1692,#DIV/0!,#DIV/0!
884,Wisconsin,total,High_school_graduate_includes_equivalency,40104,484,WI,60.37209302,45,77.11764706,0,0,0,0,18,39,-641664,40104,882288,#DIV/0!,#DIV/0!,30.33231521,574783.1692
885,Wisconsin,total,Some_college_or_associates_degree,45726,600,WI,60.37209302,45,77.11764706,5245.714286,10491.42857,113.8595693,13663.14832,20,39,-836731.1483,32062.85168,900856.8517,34.69710927,749828.8702,32.6620287,656772.7761
886,Wisconsin,total,Bachelors_degree,61428,837,WI,60.37209302,45,77.11764706,7410.243902,29640.97561,321.6824758,38601.8971,22,39,-1267161.897,22826.1029,1067102.103,29.33304713,534708.5223,29.52010281,546198.978
887,Wisconsin,total,Graduate_or_professional_degree,75811,1232,WI,60.37209302,45,77.11764706,0,0,0,0,26,39,-1819464,75811,1061354,32.98512897,681171.6121,32.66438525,656855.71
900,Wyoming,total,Total,48197,2185,WY,23.66666667,28.33333333,66,0,0,0,0,,,,48197,,,,,
901,Wyoming,total,Less_than_high_school_graduate,28406,4964,WY,23.66666667,28.33333333,66,0,0,0,0,16,39,-397684,28406,681744,22.31946607,236322.7533,#DIV/0!,#DIV/0!
902,Wyoming,total,High_school_graduate_includes_equivalency,37396,1855,WY,23.66666667,28.33333333,66,0,0,0,0,18,39,-598336,37396,822712,#DIV/0!,#DIV/0!,22.31946607,236322.7533
903,Wyoming,total,Some_college_or_associates_degree,44020,3108,WY,23.66666667,28.33333333,66,4969.333333,9938.666667,107.8606501,12943.27801,20,39,-805303.278,31076.72199,867456.722,31.24506009,570104.267,26.10601243,343883.389
904,Wyoming,total,Bachelors_degree,54129,3784,WY,23.66666667,28.33333333,66,5244,20976,227.6447206,27317.36648,22,39,-1109897.366,26811.63352,947004.6335,30.57200541,544934.7142,27.68780339,388815.743
905,Wyoming,total,Graduate_or_professional_degree,68506,1926,WY,23.66666667,28.33333333,66,0,0,0,0,26,39,-1644144,68506,959084,33.61645773,658785.0533,31.08379052,485282.1536
918,Puerto_Rico,total,Total,21254,372,PR,11.27692308,1.333333333,3.976190476,0,0,0,0,,,,21254,,,,,
919,Puerto_Rico,total,Less_than_high_school_graduate,12646,971,PR,11.27692308,1.333333333,3.976190476,0,0,0,0,16,39,-177044,12646,303504,23.35874309,118350.6651,#DIV/0!,#DIV/0!
920,Puerto_Rico,total,High_school_graduate_includes_equivalency,16083,319,PR,11.27692308,1.333333333,3.976190476,0,0,0,0,18,39,-257328,16083,353826,#DIV/0!,#DIV/0!,23.35874309,118350.6651
921,Puerto_Rico,total,Some_college_or_associates_degree,19642,457,PR,11.27692308,1.333333333,3.976190476,5945.666667,11891.33333,129.0522147,15486.26576,20,39,-369042.2658,4155.73424,377353.7342,31.38922893,247504.9689,27.44400597,170012.8995
922,Puerto_Rico,total,Bachelors_degree,27445,925,PR,11.27692308,1.333333333,3.976190476,4173.538462,16694.15385,181.1754381,21741.05257,22,39,-570641.0526,5703.947433,472268.9474,27.5755195,186169.0801,26.59619248,159291.4501
923,Puerto_Rico,total,Graduate_or_professional_degree,40103,1592,PR,11.27692308,1.333333333,3.976190476,0,0,0,0,26,39,-962472,40103,561442,29.35653622,214813.172,28.60574717,184704.2787
