,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,2-3_year_pct_students_loans_avg,<2_year_pct_students_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,age_39,y_intercept,gross_at_starting_age,gross_at_39,age_of_profitability_high_school,gross_salary_at_proftability_high_school,age_of_profitability_less_than_high_school,gross_salary_at_proftability_less_than_high_school
145,District_of_Columbia,total,Less_than_high_school_graduate,26970,6116,DC,33.9,83.5,62.5,0,0,0,0,16,39,-377580,26970,647280,20.63840399,179037.7556,#DIV/0!,#DIV/0!
146,District_of_Columbia,total,High_school_graduate_includes_equivalency,38599,4544,DC,33.9,83.5,62.5,0,0,0,0,18,39,-617584,38599,849178,#DIV/0!,#DIV/0!,20.63840399,179037.7556
147,District_of_Columbia,total,Some_college_or_associates_degree,48566,3947,DC,33.9,83.5,62.5,6703,13406,145.4903282,17458.83939,20,39,-891646.8394,31107.16061,953861.1606,27.49702412,443773.6339,23.80379882,264408.4543
148,District_of_Columbia,total,Bachelors_degree,83903,2914,DC,33.9,83.5,62.5,6623,26492,287.5078156,34500.93787,22,39,-1712560.938,49402.06213,1475753.062,24.16954216,315336.1577,23.44828022,254820.1176
149,District_of_Columbia,total,Graduate_or_professional_degree,113205,6360,DC,33.9,83.5,62.5,0,0,0,0,26,39,-2716920,113205,1584870,28.13897006,468552.1052,27.12750043,354048.6867
162,Florida,total,Total,44036,330,FL,42.80701754,53.38461538,56.38983051,0,0,0,0,,,,44036,,,,,
163,Florida,total,Less_than_high_school_graduate,28063,876,FL,42.80701754,53.38461538,56.38983051,0,0,0,0,16,39,-392882,28063,673512,24.36951983,290999.8351,#DIV/0!,#DIV/0!
164,Florida,total,High_school_graduate_includes_equivalency,34769,469,FL,42.80701754,53.38461538,56.38983051,0,0,0,0,18,39,-556304,34769,764918,#DIV/0!,#DIV/0!,24.36951983,290999.8351
165,Florida,total,Some_college_or_associates_degree,41565,288,FL,42.80701754,53.38461538,56.38983051,7719.38,15438.76,167.5511159,20106.13391,20,39,-768276.1339,21458.86609,811193.8661,31.19072012,528166.1477,27.80285394,387349.4901
166,Florida,total,Bachelors_degree,56243,818,FL,42.80701754,53.38461538,56.38983051,6875.417476,27501.6699,298.4653872,35815.84647,22,39,-1160675.846,20427.15353,976558.1535,28.14435347,422247.0259,27.24605559,371724.058
167,Florida,total,Graduate_or_professional_degree,74215,1259,FL,42.80701754,53.38461538,56.38983051,0,0,0,0,26,39,-1781160,74215,1039010,31.05146276,523324.3087,30.08055989,451268.7522
180,Georgia,total,Total,47625,512,GA,52.5625,36.54761905,74.11111111,0,0,0,0,,,,47625,,,,,
181,Georgia,total,Less_than_high_school_graduate,30325,631,GA,52.5625,36.54761905,74.11111111,0,0,0,0,16,39,-424550,30325,727800,26.91809181,391741.1341,#DIV/0!,#DIV/0!
182,Georgia,total,High_school_graduate_includes_equivalency,35880,536,GA,52.5625,36.54761905,74.11111111,0,0,0,0,18,39,-574080,35880,789360,#DIV/0!,#DIV/0!,26.91809181,391741.1341
183,Georgia,total,Some_college_or_associates_degree,42139,452,GA,52.5625,36.54761905,74.11111111,6016.947368,12033.89474,130.5993805,15671.92566,20,39,-774173.9257,26467.07434,827108.0743,31.96899276,572967.4601,29.59403468,472889.1015
184,Georgia,total,Bachelors_degree,63803,738,GA,52.5625,36.54761905,74.11111111,6766.83871,27067.35484,293.7519275,35250.2313,22,39,-1311310.231,28552.7687,1113203.769,26.40225733,373232.9928,26.48784967,378694.0413
185,Georgia,total,Graduate_or_professional_degree,78550,1341,GA,52.5625,36.54761905,74.11111111,0,0,0,0,26,39,-1885200,78550,1099700,30.72697446,528403.8434,30.28823224,493940.6428
198,Hawaii,total,Total,50993,644,HI,23.88888889,23.11111111,45,0,0,0,0,,,,50993,,,,,
199,Hawaii,total,Less_than_high_school_graduate,29829,4287,HI,23.88888889,23.11111111,45,0,0,0,0,16,39,-417606,29829,715896,21.13761626,212907.9554,#DIV/0!,#DIV/0!
200,Hawaii,total,High_school_graduate_includes_equivalency,41441,1095,HI,23.88888889,23.11111111,45,0,0,0,0,18,39,-663056,41441,911702,#DIV/0!,#DIV/0!,21.13761626,212907.9554
201,Hawaii,total,Some_college_or_associates_degree,46737,1326,HI,23.88888889,23.11111111,45,5841.444444,11682.88889,126.7900447,15214.80536,20,39,-856480.8054,31522.19464,919525.1946,36.52281068,850485.7974,25.95663623,356654.5021
202,Hawaii,total,Bachelors_degree,61880,1700,HI,23.88888889,23.11111111,45,6376.875,25507.5,276.8234035,33218.80842,22,39,-1270818.808,28661.19158,1080621.192,29.73544735,569210.6737,26.62047388,376456.1155
203,Hawaii,total,Graduate_or_professional_degree,79653,2735,HI,23.88888889,23.11111111,45,0,0,0,0,26,39,-1911672,79653,1115142,32.676018,691070.8621,29.9868738,476872.4585
216,Idaho,total,Total,43844,772,ID,49.27272727,56.375,78.64285714,0,0,0,0,,,,43844,,,,,
