,state,sex,education,estimate,margin_of_error,state_abbrev,4_year_pct_students_loans_avg,4_year_avg_student_loans_avg,2-3_year_pct_students_loans_avg,2-3_year_avg_student_loans_avg,<2_year_pct_students_loans_avg,<2_year_avg_student_loans_avg,fed_student_loans_per_year,total_fed_student_loans,monthly_payment,total_cost_of_fed_loan,age_starting_work,y_intercept,gross_at_starting_age,gross_at_39
202,Hawaii,total,Bachelors_degree,61880,1700,HI,23.88888888888889,6376.875,23.11111111111111,5841.444444444444,45,5570,6376.875,25507.5,276.82340350769397,33218.80842092328,22,-1270818.808,28661.191579076723,1080621.1915790767
203,Hawaii,total,Graduate_or_professional_degree,79653,2735,HI,23.88888888888889,6376.875,23.11111111111111,5841.444444444444,45,5570,0,0,0,0,26,-1911672,79653,1115142
216,Idaho,total,Total,43844,772,ID,49.27272727272727,6238.636363636364,56.375,6051.25,78.64285714285714,6742.5,0,0,0,0,,,43844,
217,Idaho,total,Less_than_high_school_graduate,35192,2579,ID,49.27272727272727,6238.636363636364,56.375,6051.25,78.64285714285714,6742.5,0,0,0,0,16,-492688,35192,844608
218,Idaho,total,High_school_graduate_includes_equivalency,37406,1078,ID,49.27272727272727,6238.636363636364,56.375,6051.25,78.64285714285714,6742.5,0,0,0,0,18,-598496,37406,822932
219,Idaho,total,Some_college_or_associates_degree,40546,696,ID,49.27272727272727,6238.636363636364,56.375,6051.25,78.64285714285714,6742.5,6051.25,12102.5,131.34392790167072,15761.271348200487,20,-745589.2713,24784.728651799513,795158.7286517995
220,Idaho,total,Bachelors_degree,54796,2048,ID,49.27272727272727,6238.636363636364,56.375,6051.25,78.64285714285714,6742.5,6238.636363636364,24954.545454545456,270.8223936377429,32498.687236529146,22,-1128418.687,22297.312763470854,953829.3127634708
221,Idaho,total,Graduate_or_professional_degree,72869,3340,ID,49.27272727272727,6238.636363636364,56.375,6051.25,78.64285714285714,6742.5,0,0,0,0,26,-1748856,72869,1020166
234,Illinois,total,Total,51922,298,IL,58.705882352941174,6720.409090909091,19.677966101694917,5023.929824561404,68.91428571428571,6313.363636363636,0,0,0,0,,,51922,
235,Illinois,total,Less_than_high_school_graduate,31826,508,IL,58.705882352941174,6720.409090909091,19.677966101694917,5023.929824561404,68.91428571428571,6313.363636363636,0,0,0,0,16,-445564,31826,763824
